CS01012021,T_SEC_NL,ZONENUMMER,STGB,NIS_GEM_L
11001A00-,AARTSELAAR-CENTRUM,"1","1",11001 AARTSELAAR
11001A01-,DE LEEUWERIK,"2","1",11001 AARTSELAAR
11001A020,BUERSTEDE,"3","1",11001 AARTSELAAR
11001A030,YSSELAAR,"2","1",11001 AARTSELAAR
11001A042,KLEINE GRIPPE,"4","1",11001 AARTSELAAR
11001A052,LEUG,"1","1",11001 AARTSELAAR
11001A063,TEN DORPE,"1","1",11001 AARTSELAAR
11001A074,BRUINEN BAARD,"4","1",11001 AARTSELAAR
11001A091,KLEISTRAAT - OEVER,"1","1",11001 AARTSELAAR
11001A0MA,ZINKVAL,"3","1",11001 AARTSELAAR
11001A0PA,CLEYDAEL-KASTEEL,"3","1",11001 AARTSELAAR
11001A10-,'T HEIKEN,"5","1",11001 AARTSELAAR
11001A173,NOTELAAN,"3","1",11001 AARTSELAAR
11001A190,DE REUKENS,"5","1",11001 AARTSELAAR
11001A20-,DE KOEKOEK,"6","1",11001 AARTSELAAR
11001A21-,VIERPALEN,"7","1",11001 AARTSELAAR
1100212MQ,STABROEK,"106","1",11002 ANTWERPEN
11002A00-,ANTWERPEN KERN - OUDE STAD (SPAANSE WALLEN ),"8","1",11002 ANTWERPEN
11002A01-,KLAPDORP - BROUWERSVLIET,"9","1",11002 ANTWERPEN
11002A02-,GROENPLAATS (SPAANSE WALLEN),"10","1",11002 ANTWERPEN
11002A03-,HOOGSTRAAT (SPAANSE WALLEN),"11","1",11002 ANTWERPEN
11002A04-,OUDAAN (SPAANSE WALLEN),"12","1",11002 ANTWERPEN
11002A05-,GEVANGENIS (SPAANSE WALLEN),"13","1",11002 ANTWERPEN
11002A081,SCHELDEKADEN NOORD,"14","1",11002 ANTWERPEN
11002A10-,MEIR - LEYSSTRAAT (SP. WALLEN),"15","1",11002 ANTWERPEN
11002A11-,KIPDORP-ST.-JACOBS (SP.WALLEN),"16","1",11002 ANTWERPEN
11002A12-,K.N.S.-NAT. BANK (SP. WALLEN),"17","1",11002 ANTWERPEN
11002A13-,STADSWAAG-BEGIJNHOF(SP.WALLEN),"18","1",11002 ANTWERPEN
11002A14-,TABAKSVEST (SPAANSE WALLEN),"19","1",11002 ANTWERPEN
11002A15-,HESSENHUIS (SPAANSE WALLEN),"20","1",11002 ANTWERPEN
11002A21-,ST.-ANDRIES (SPAANSE WALLEN),"14","1",11002 ANTWERPEN
11002A22-,ST.-MICHIELSKAAI (SP. WALLEN),"14","1",11002 ANTWERPEN
11002B701,LINKEROEVER-ZUID (LINKEROEVER),"21","1",11002 ANTWERPEN
11002B71-,LINKEROEVER - STATION,"22","1",11002 ANTWERPEN
11002B721,LINKEROEVER-NOORD,"23","1",11002 ANTWERPEN
11002B73-,ST.-ANNA (LINKEROEVER),"23","1",11002 ANTWERPEN
11002B742,THOENETLAAN (LINKEROEVER),"23","1",11002 ANTWERPEN
11002B752,GLORIANTLAAN (LINKEROEVER),"21","1",11002 ANTWERPEN
11002B782,GALGEWEEL (LINKEROEVER),"24","1",11002 ANTWERPEN
11002B791,ST.-ANNABOS (LINKEROEVER ),"25","1",11002 ANTWERPEN
11002B813,BLANCEFLOERLAAN  (LINKEROEVER),"24","1",11002 ANTWERPEN
11002B824,CHARLES DE COSTERLAAN(L.OEVER),"24","1",11002 ANTWERPEN
11002C20-,STATIEKWARTIER (STATIONSWIJK),"26","1",11002 ANTWERPEN
11002C21-,ATHENEUM (STATIONSWIJK),"27","1",11002 ANTWERPEN
11002C22-,DE CONINCPLEIN-Z.(STATIONSW.),"28","1",11002 ANTWERPEN
11002C23-,OFFERANDESTRAAT(STATIONSWIJK ),"29","1",11002 ANTWERPEN
11002C24-,PROVINCIESTRAAT(STATIONSWIJK ),"30","1",11002 ANTWERPEN
11002C25-,PELIKAANSTRAAT (STATIONSWIJK ),"31","1",11002 ANTWERPEN
11002C28-,STATION - ZOO (STATIONSWIJK ),"32","1",11002 ANTWERPEN
11002C29-,STADSPARK (STATIONSWIJK ),"33","1",11002 ANTWERPEN
11002C31-,JEZUITENCOLLEGE(STATIONSWIJK ),"33","1",11002 ANTWERPEN
11002C41-,DAMBRUGGESTRAAT-N.(STATIONSW.),"34","1",11002 ANTWERPEN
11002C42-,DE ZAVEL (NOORDWIJK ),"35","1",11002 ANTWERPEN
11002C43-,ST.-WILLEBRORDUS (NOORDWIJK ),"35","1",11002 ANTWERPEN
11002C44-,POTGIETERSTRAAT (NOORDWIJK),"36","1",11002 ANTWERPEN
11002C45-,STUIVENBERG ZIEKENHUIS(NOORDW),"37","1",11002 ANTWERPEN
11002C491,SCHIJNPOORT (DAM-SCHIJNPOORT ),"37","1",11002 ANTWERPEN
11002D30-,CHARLOTTALEI (OOSTWIJK),"38","1",11002 ANTWERPEN
11002D31-,ASTRID BAD (OOSTWIJK),"39","1",11002 ANTWERPEN
11002D32-,ST.-VINCENTIUS (OOSTWIJK),"40","1",11002 ANTWERPEN
11002D33-,STADSPARK-ZUID (OOSTWIJK),"41","1",11002 ANTWERPEN
11002D34-,DAGERAADPLAATS - OOSTSTATIE (OOSTWIJK),"42","1",11002 ANTWERPEN
11002D35-,VAN DIEPENBEECKSTR. (OOSTWIJK),"39","1",11002 ANTWERPEN
11002D38-,GAS (OOSTWIJK),"43","1",11002 ANTWERPEN
11002D41-,STAPPAERTS - KRIJGSHOSPITAAL (OOSTWIJK),"44","1",11002 ANTWERPEN
11002D42-,LAMORINIERESTR.-ZUID (EBES) (OOSTWIJK),"45","1",11002 ANTWERPEN
"11002E122",WAALSE KAAI (ZUIDWIJK),"46","1",11002 ANTWERPEN
"11002E131",VLAAMSE KAAI (ZUIDWIJK),"46","1",11002 ANTWERPEN
11002E14-,MUSEUMWIJK (ZUIDWIJK),"47","1",11002 ANTWERPEN
11002E15-,GERECHTSHOF (ZUIDWIJK),"48","1",11002 ANTWERPEN
11002E19-,OUDE SCHIPPERSDOKKEN(ZUIDWIJK),"46","1",11002 ANTWERPEN
11002E50-,BELL (ZUIDWIJK),"49","1",11002 ANTWERPEN
"11002E521",LANGE ELZENSTRAAT (ZUIDWIJK),"50","1",11002 ANTWERPEN
11002E53-,TROONPLAATS (ZUIDWIJK),"51","1",11002 ANTWERPEN
"11002E551",GERECHTSHOF (ZUIDWIJK),"48","1",11002 ANTWERPEN
11002E5MJ,SPAGHETTIKNOOP (KIEL),"52","1",11002 ANTWERPEN
11002F11-,ST.-CATHARINA (KIEL),"53","1",11002 ANTWERPEN
11002F12-,MAURITS SABBELAAN (KIEL),"53","1",11002 ANTWERPEN
11002F21-,KOLONIELAAN (CAM. HUYSMANSL.),"54","1",11002 ANTWERPEN
11002F223,VOLHARDINGSSTRAAT (KIEL),"54","1",11002 ANTWERPEN
11002F60-,KIEL - CENTRUM (KIEL),"55","1",11002 ANTWERPEN
11002F61-,BOOMSE STWG-BEERSCHOT (KIEL),"56","1",11002 ANTWERPEN
11002F62-,BEERSCHOT - STADION (KIEL),"55","1",11002 ANTWERPEN
11002F64-,JAN DE VOSLEI (KIEL),"54","1",11002 ANTWERPEN
11002F65-,PIUS X (KIEL),"56","1",11002 ANTWERPEN
11002F6MJ,PETROLEUM - SCHELDEKADEN-Z.,"57","1",11002 ANTWERPEN
11002F6NJ,KIELSE POLDER (KIEL),"58","1",11002 ANTWERPEN
11002G51-,ST.-LAURENTIUS (ZUIDWIJK),"59","1",11002 ANTWERPEN
11002G522,FRANSEN PLAATS (ZUIDWIJK),"60","1",11002 ANTWERPEN
11002G53-,HARMONIE (ZUIDWIJK),"61","1",11002 ANTWERPEN
11002G54-,KAREL OOMSTRAAT,"62","1",11002 ANTWERPEN
11002G552,C. TEICHMANN PLAATS (ZUIDWIJK),"63","1",11002 ANTWERPEN
11002G59-,ALBERTPARK (OOSTWIJK),"61","1",11002 ANTWERPEN
11002G72-,WILRIJKSPL.-W. (WILRIJKSPLEIN),"64","1",11002 ANTWERPEN
11002G73-,BLOKKEN-KRUISHOFSTR. (WILR.PL),"64","1",11002 ANTWERPEN
11002G74-,DEN BRANDT (WILRIJKSPLEIN),"65","1",11002 ANTWERPEN
11002G75-,OOSTERVELD (WILRIJKSPEIN),"66","1",11002 ANTWERPEN
11002G780,NACHTEGALENPARK(WILRIJKSPLEIN),"65","1",11002 ANTWERPEN
11002H40-,ST.-AMANDUS (NOORDWIJK),"67","1",11002 ANTWERPEN
11002H41-,STUIVENBERG-WEST,"67","1",11002 ANTWERPEN
11002H43-,ST.-JANSPLEIN-TRAPSTR.(N.WIJK),"68","1",11002 ANTWERPEN
11002H44-,STUIVENBERGPLEIN (NOORDWIJK),"69","1",11002 ANTWERPEN
11002H4MJ,STATION STUIVENBERG,"70","1",11002 ANTWERPEN
11002H83-,SLACHTHUISWIJK (DAM-SCHIJNPOORT),"70","1",11002 ANTWERPEN
11002H84-,DAM (DAM - SCHIJNPOORT),"70","1",11002 ANTWERPEN
11002H8MJ,DAM- LOBROEKDOK (SCHIJNPOORT),"70","1",11002 ANTWERPEN
11002J072,OUDE HAVEN,"77","1",11002 ANTWERPEN
11002J80-,LUCHTBAL-ZUID,"73","1",11002 ANTWERPEN
11002J820,IJZERLAAN (DAM - SCHIJNPOORT),"74","1",11002 ANTWERPEN
11002J83-,DUBOISSTRAAT (NOORDWIJK),"71","1",11002 ANTWERPEN
11002J84-,WILLEMDOK (SPAANSE WALLEN),"76","1",11002 ANTWERPEN
11002J85-,'T EILANDJE,"72","1",11002 ANTWERPEN
11002J873,HOUTDOK,"78","1",11002 ANTWERPEN
11002J8AN,AN-LUCHTBAL-NOORD,"75","1",11002 ANTWERPEN
11002K171,ALBERTDOK,"84","1",11002 ANTWERPEN
11002K172,MARSHALL-EN INDUSTRIEDOK ESSO,"90","1",11002 ANTWERPEN
11002K173,LEOPOLDDOK FORD-FABRIEKEN,"92","1",11002 ANTWERPEN
11002K175,CHURCHILLDOK-G. M. CONTIN.,"97","1",11002 ANTWERPEN
11002K1NP,AN-LUITHAGEN-TRANSCONTINENTAALWEG,"95","1",11002 ANTWERPEN
11002K1WN,AN-HAVEN/VORMINGSSTATION,"100","1",11002 ANTWERPEN
11002K214,LILLO - FORT,"103","1",11002 ANTWERPEN
11002K271,DISTRICT LILLO TUNNEL-NOORD,"103","1",11002 ANTWERPEN
11002K272,DISTRICT LILLO TUNNEL-ZUID,"107","1",11002 ANTWERPEN
11002K2MN,DISTRICT LILLO TUNNEL-ZUID,"99","1",11002 ANTWERPEN
11002L000,ZANDVLIET-KERN(ZANDVL.-5 DIST),"108","1",11002 ANTWERPEN
11002L011,STALSHOEK(ZANDVLIET-5 DISTR. ),"108","1",11002 ANTWERPEN
11002L022,GROTE RUIGEHEIDE(ZANDVL.-5DIS),"109","1",11002 ANTWERPEN
11002L070,HAVENGEBIED (ZANDVLIET-5 DIS),"110","1",11002 ANTWERPEN
11002L090,NOORDLAANPOLDER-VERSPR. BEW. (ZANDVLIET - 5 DISTRICT),"109","1",11002 ANTWERPEN
11002L100,BERENDRECHT - KERN (BERENDRECHT - 4 DISTRICT),"112","1",11002 ANTWERPEN
11002L111,STEENHOVENSTRAAT (BERENDRECHT - 4 DISTRICT),"108","1",11002 ANTWERPEN
11002L122,VISWATER(BERENDRECHT - 4 DIST),"112","1",11002 ANTWERPEN
11002L17-,HAVENGEBIED(BERENDRECHT - 4 D),"111","1",11002 ANTWERPEN
11002L18-,KRAAIENBERG(BERENDRECHT - 4 D),"113","1",11002 ANTWERPEN
11002M0MA,SCHELDE - CONTAINERTERMINAL,"114","1",11002 ANTWERPEN
11002M0RA,SCHELDE-NOORD,"2755","1",46003 BEVEREN
11002M0QA,SCHELDE-ZUID,"87","1",11002 ANTWERPEN
11002P00-,EKEREN-CENTRUM,"115","1",11002 ANTWERPEN
11002P01-,EKEREN-DORP,"115","1",11002 ANTWERPEN
11002P02-,SCHOONBROEK,"115","1",11002 ANTWERPEN
11002P03-,DE GEESTEN,"116","1",11002 ANTWERPEN
11002P04-,HET ZAND,"117","1",11002 ANTWERPEN
11002P05-,LEERHOEKSLAAN,"117","1",11002 ANTWERPEN
11002P09-,VELTWIJCK,"115","1",11002 ANTWERPEN
11002P100,MARIABURG,"118","1",11002 ANTWERPEN
11002P111,DE BIST,"118","1",11002 ANTWERPEN
11002P12-,DE NOTESCHELP,"118","1",11002 ANTWERPEN
11002P192,HOGE BIST,"118","1",11002 ANTWERPEN
11002P20-,HOEKAKKER,"119","1",11002 ANTWERPEN
11002P22-,PRINSHOEVELAND,"119","1",11002 ANTWERPEN
11002P23-,LAGE BIST,"119","1",11002 ANTWERPEN
11002P242,KLAVERVELDEN,"121","1",11002 ANTWERPEN
11002P2AN,EK-LAAR,"121","1",11002 ANTWERPEN
11002P2AP,EK-LUCASWIJK,"120","1",11002 ANTWERPEN
11002P392,VLOEIENDE,"122","1",11002 ANTWERPEN
11002P500,LEUGENBERG,"122","1",11002 ANTWERPEN
11002P589,DE HOEKX,"122","1",11002 ANTWERPEN
11002P590,KROMMESTR.- AKKER - BREDESTR.- VELDEN,"122","1",11002 ANTWERPEN
11002P6AK,EK-LEUGENBERG-ZUID,"80","1",11002 ANTWERPEN
11002P6BK,EK-SCHOONBROEK - TWEEKRONEN,"80","1",11002 ANTWERPEN
11002P6CK,EK-SCHOONBROEK HANDBOOG,"80","1",11002 ANTWERPEN
11002P6DK,EK-GR.HAGELKRUIS-L.BAEKELANDSTRAAT,"80","1",11002 ANTWERPEN
11002P6EK,EK-DONKSE BEEK,"80","1",11002 ANTWERPEN
11002P6FK,EK-EKERSE POLDER,"80","1",11002 ANTWERPEN
11002P6PK,EK-EKERSE PUTTEN,"101","1",11002 ANTWERPEN
11002Q001,OUD MERKSEM,"123","1",11002 ANTWERPEN
11002Q012,MERKSEM-CENTRUM,"124","1",11002 ANTWERPEN
11002Q021,LAATLOS,"123","1",11002 ANTWERPEN
11002Q03-,GAGELVELDEN,"125","1",11002 ANTWERPEN
11002Q04-,KLUIZEVELDEN,"125","1",11002 ANTWERPEN
11002Q052,EIGEN HEERD,"123","1",11002 ANTWERPEN
11002Q072,DUIVELSHOEK,"123","1",11002 ANTWERPEN
11002Q091,PARK,"126","1",11002 ANTWERPEN
11002Q10-,OUDE BAREEL,"127","1",11002 ANTWERPEN
11002Q11-,MERKSEMHEIDE,"127","1",11002 ANTWERPEN
11002Q12-,KROONWIJK,"126","1",11002 ANTWERPEN
11002Q13-,MELGESDREEF,"128","1",11002 ANTWERPEN
11002Q14-,TUINWIJK,"129","1",11002 ANTWERPEN
11002Q17-,MERKSEM-DOKKEN,"130","1",11002 ANTWERPEN
11002Q201,LAMBRECHTSHOEKEN,"131","1",11002 ANTWERPEN
11002Q212,LAARSE BAAN-WEST,"132","1",11002 ANTWERPEN
11002Q222,RIETSCHOORVELDEN,"133","1",11002 ANTWERPEN
11002Q233,LAARSE BAAN-OOST,"132","1",11002 ANTWERPEN
11002Q241,KRUISBAANVELDEN,"131","1",11002 ANTWERPEN
11002Q242,KRUISBAANVELDEN,"131","1",11002 ANTWERPEN
11002Q2AA,'T LAAR,"133","1",11002 ANTWERPEN
11002Q2PP,ME-MERKSEMSE POLDER,"132","1",11002 ANTWERPEN
11002Q30-,KLEINE BAREEL,"129","1",11002 ANTWERPEN
11002Q39-,'T FORT,"129","1",11002 ANTWERPEN
11002Q49-,SPORTPALEIS,"134","1",11002 ANTWERPEN
11002R00-,DEURNE - GEMEENTEHUIS,"135","1",11002 ANTWERPEN
11002R01-,PLANKENBERG,"136","1",11002 ANTWERPEN
11002R02-,DEURNE-HET DORP,"135","1",11002 ANTWERPEN
11002R03-,GALLIFORT,"136","1",11002 ANTWERPEN
11002R04-,KREGLINGER,"137","1",11002 ANTWERPEN
11002R05-,TER RIVIEREN,"137","1",11002 ANTWERPEN
11002R099,RIVIERENHOF-NOORD,"138","1",11002 ANTWERPEN
11002R101,KRONENBURG,"139","1",11002 ANTWERPEN
11002R110,BISSCHOPPENHOF,"140","1",11002 ANTWERPEN
11002R12-,CONFORTA,"141","1",11002 ANTWERPEN
11002R13-,TEN EEKHOVE,"142","1",11002 ANTWERPEN
11002R172,KANAAL,"139","1",11002 ANTWERPEN
11002R180,BREM,"143","1",11002 ANTWERPEN
11002R19-,KRUININGE,"144","1",11002 ANTWERPEN
11002R20-,VENNEBORG,"145","1",11002 ANTWERPEN
11002R21-,MORTELHOEK,"145","1",11002 ANTWERPEN
11002R22-,ERTBRUGGE,"146","1",11002 ANTWERPEN
11002R23-,ZWARTE AREND,"147","1",11002 ANTWERPEN
11002R24-,SCHOTENSTEENWEG,"146","1",11002 ANTWERPEN
11002R28-,RUGGEVELD,"147","1",11002 ANTWERPEN
11002R29-,ERTBRUGGE VELD,"147","1",11002 ANTWERPEN
11002R30-,'T MESTPUTTEKE,"148","1",11002 ANTWERPEN
11002R31-,DRIEKONINGEN,"149","1",11002 ANTWERPEN
11002R32-,ARENA,"148","1",11002 ANTWERPEN
11002R33-,KRIEKENHOF,"148","1",11002 ANTWERPEN
11002R34-,MUGGENBERG,"150","1",11002 ANTWERPEN
11002R35-,MORKHOVEN,"150","1",11002 ANTWERPEN
11002R39-,BOTERLAARHOF,"147","1",11002 ANTWERPEN
11002R401,BOEKENBERG,"151","1",11002 ANTWERPEN
11002R41-,DRAKENHOF,"151","1",11002 ANTWERPEN
11002R42-,BOEKENBERGLEI,"159","1",11002 ANTWERPEN
11002R43-,EKSTERLAAR,"149","1",11002 ANTWERPEN
11002R44-,BOTERLAAR - SILSBURG,"152","1",11002 ANTWERPEN
11002R47-,VLIEGVELD,"151","1",11002 ANTWERPEN
11002R482,BOEKENBERGPARK,"151","1",11002 ANTWERPEN
11002S00-,BORGERHOUT - GEMEENTEHUIS,"153","1",11002 ANTWERPEN
11002S01-,FONTEINSTRAAT,"154","1",11002 ANTWERPEN
11002S02-,DEN BLEEKHOF,"155","1",11002 ANTWERPEN
11002S03-,KROONSTRAAT-WEST,"153","1",11002 ANTWERPEN
11002S04-,HET LAAR,"156","1",11002 ANTWERPEN
11002S05-,KATTENBERG,"156","1",11002 ANTWERPEN
11002S10-,STENENBRUG-ZUID,"157","1",11002 ANTWERPEN
11002S11-,COLLEGE,"158","1",11002 ANTWERPEN
11002S12-,VAN DE PERRELEI,"157","1",11002 ANTWERPEN
11002S13-,BOELAERPARK-NOORD,"157","1",11002 ANTWERPEN
11002S19-,TE BOELAERPARK,"159","1",11002 ANTWERPEN
11002S20-,FOORPLEIN,"160","1",11002 ANTWERPEN
11002S28-,DEURNE - HUISKENS,"161","1",11002 ANTWERPEN
11002S2MJ,E3 - E39,"160","1",11002 ANTWERPEN
11002S30-,DE PEPERBUS,"160","1",11002 ANTWERPEN
11002S31-,ST.-ANNA,"162","1",11002 ANTWERPEN
11002S41-,LABORATORIUM,"163","1",11002 ANTWERPEN
11002S42-,GITSCHOTEL,"159","1",11002 ANTWERPEN
11002S43-,CRUYSLEI,"159","1",11002 ANTWERPEN
11002T00-,OP TEN BERGH,"164","1",11002 ANTWERPEN
11002T01-,POSTHOF,"165","1",11002 ANTWERPEN
11002T02-,HOFVELD,"166","1",11002 ANTWERPEN
11002T03-,STUIVENBERG,"167","1",11002 ANTWERPEN
11002T04-,OUDE JUSTITIE,"167","1",11002 ANTWERPEN
11002T05-,TURKEYEN,"164","1",11002 ANTWERPEN
11002T09-,VESTINGEN,"166","1",11002 ANTWERPEN
11002T10-,RUYTENBURG,"168","1",11002 ANTWERPEN
11002T111,FRUITHOF,"169","1",11002 ANTWERPEN
11002T12-,OUDE BAEN,"170","1",11002 ANTWERPEN
11002T13-,MOLENVELD,"168","1",11002 ANTWERPEN
11002T14-,DE VELDEKENS,"171","1",11002 ANTWERPEN
11002T180,ROOY,"171","1",11002 ANTWERPEN
11002T19-,DE SCHOM,"168","1",11002 ANTWERPEN
11002T20-,GITSCHOTEL,"172","1",11002 ANTWERPEN
11002T21-,VOSSTRAETE,"173","1",11002 ANTWERPEN
11002T22-,GROENENHOEK,"172","1",11002 ANTWERPEN
11002T23-,BERCHEMBOS,"173","1",11002 ANTWERPEN
11002T24-,TUINWIJK,"171","1",11002 ANTWERPEN
11002T25-,HET PRIEEL,"171","1",11002 ANTWERPEN
11002T30-,ZURENBORG,"174","1",11002 ANTWERPEN
11002T39-,OOSTKWARTIER,"174","1",11002 ANTWERPEN
11002T412,ZILVERBEEK,"169","1",11002 ANTWERPEN
11002T42-,DE ZEPTEN,"169","1",11002 ANTWERPEN
11002U00-,WILRIJK-CENTRUM,"175","1",11002 ANTWERPEN
11002U01-,YPERMAN - STEYTELINCK,"176","1",11002 ANTWERPEN
11002U02-,OVERSNES - DUIVELSHOEK,"175","1",11002 ANTWERPEN
11002U03-,KOORNBLOEM,"177","1",11002 ANTWERPEN
11002U09-,SLIJKHOEK - FORT 6,"176","1",11002 ANTWERPEN
11002U10-,HONDSNEST - MOLENVELD,"178","1",11002 ANTWERPEN
11002U11-,PARKWIJK,"179","1",11002 ANTWERPEN
11002U20-,VALAAR - DE BREM,"180","1",11002 ANTWERPEN
11002U21-,DE BRUYNLAAN-ZUID,"181","1",11002 ANTWERPEN
11002U22-,DE BRUYNLAAN-NOORD,"181","1",11002 ANTWERPEN
11002U30-,OOSTERVELD,"182","1",11002 ANTWERPEN
11002U31-,ELSDONK-OOST,"182","1",11002 ANTWERPEN
11002U32-,ELSDONK-WEST,"183","1",11002 ANTWERPEN
11002U33-,SINT-AUGUSTINUS,"183","1",11002 ANTWERPEN
11002U40-,EDEN,"184","1",11002 ANTWERPEN
11002U41-,U.I.A. VOORJAARSSTRAAT,"185","1",11002 ANTWERPEN
11002U43-,GALLAITLAAN,"186","1",11002 ANTWERPEN
11002U47-,INDUSTRIEPARK-OOST,"184","1",11002 ANTWERPEN
11002U57-,TER BEKE HOF DREEF,"187","1",11002 ANTWERPEN
11002U5MA,GROENE HOEK - TER BEKE,"188","1",11002 ANTWERPEN
11002U5PA,GROENE HOEK - TER BEKE,"188","1",11002 ANTWERPEN
11002U60-,DOOY SLOOY,"187","1",11002 ANTWERPEN
11002U68-,SCHOONSELHOF - FORT 7,"187","1",11002 ANTWERPEN
11002U69-,KLAVERBLAD,"187","1",11002 ANTWERPEN
11002V00-,HOBOKEN - CENTRUM,"189","1",11002 ANTWERPEN
11002V01-,KLOOSTERSTRAAT,"190","1",11002 ANTWERPEN
11002V02-,VINKEVELDEN,"191","1",11002 ANTWERPEN
11002V03-,KAPELSTRAAT,"189","1",11002 ANTWERPEN
11002V04-,SPORT PARK BELL,"192","1",11002 ANTWERPEN
11002V05-,LEOPOLDLEI,"192","1",11002 ANTWERPEN
11002V07-,METALLURGIE - COCKERILL,"193","1",11002 ANTWERPEN
11002V099,PARK ZORGVLIET,"191","1",11002 ANTWERPEN
11002V10-,ZWAANTJES,"194","1",11002 ANTWERPEN
11002V11-,PORTUGESEHOF,"195","1",11002 ANTWERPEN
11002V12-,WEERSTANDLAAN,"195","1",11002 ANTWERPEN
11002V13-,HEIDE,"190","1",11002 ANTWERPEN
11002V14-,LICHTENBERG,"192","1",11002 ANTWERPEN
11002V19-,BEGRAAFPLAATS,"196","1",11002 ANTWERPEN
11002V20-,MEERLENHOF,"197","1",11002 ANTWERPEN
11002V21-,STUIVENBERG,"197","1",11002 ANTWERPEN
11002V22-,NACHTEGALENHOF-NOORD,"191","1",11002 ANTWERPEN
11002V23-,NACHTEGALENHOF-ZUID,"198","1",11002 ANTWERPEN
11002V29-,HOF TER GROEN,"197","1",11002 ANTWERPEN
11002V301,MORETUSBURG,"193","1",11002 ANTWERPEN
11002V312,VISPUTTEN,"199","1",11002 ANTWERPEN
11002V322,POLDERSTAD,"200","1",11002 ANTWERPEN
11002V373,INDUSTRIEPARK,"199","1",11002 ANTWERPEN
11002V391,POLDERBOS,"200","1",11002 ANTWERPEN
11004A00-,BOECHOUT-CENTRUM,"201","1",11004 BOECHOUT
11004A01-,HOVEREVELD,"201","1",11004 BOECHOUT
11004A02-,FRUITHOF,"201","1",11004 BOECHOUT
11004A03-,LANGE KROON,"201","1",11004 BOECHOUT
11004A081,MUSSENHOEVE,"202","1",11004 BOECHOUT
11004A09-,HOF VAN BOECHOUT,"203","1",11004 BOECHOUT
11004A10-,'T VOSKE,"204","1",11004 BOECHOUT
11004A18-,HELLE,"204","1",11004 BOECHOUT
11004A19-,SMIDJE-VERSPREIDE BEWONING,"451","1",12021 LIER
11004A21-,MOLENVELD,"201","1",11004 BOECHOUT
11004A220,GILLEGOMBUURT,"201","1",11004 BOECHOUT
11004A23-,SCHALIEHOEVEBUURT,"204","1",11004 BOECHOUT
11004A242,VOGELWEIDE,"202","1",11004 BOECHOUT
11004A29-,BOSHOEK,"203","1",11004 BOECHOUT
11004B000,VREMDE-DORP,"205","1",11004 BOECHOUT
11004B010,BROECHEMSE STEENWEG,"205","1",11004 BOECHOUT
11004B022,NIEUWE WIJK,"205","1",11004 BOECHOUT
11004B081,TOEFFELHOEK,"205","1",11004 BOECHOUT
11004B090,BLOEMENHOF - VREMDERMOLEN,"205","1",11004 BOECHOUT
11004B19-,ACHTERSTE HOEVEN,"205","1",11004 BOECHOUT
11005A00-,BOOM-CENTRUM,"206","1",11005 BOOM
11005A01-,ADVOKAATSTRAAT,"207","1",11005 BOOM
11005A02-,DE HOEK,"208","1",11005 BOOM
11005A03-,BOOM STATION-F. DE SCHUTTERL.,"209","1",11005 BOOM
11005A04-,NOEVEREN,"209","1",11005 BOOM
11005A051,SCHOMME,"208","1",11005 BOOM
11005A072,INDUSTRIE,"209","1",11005 BOOM
11005A093,HOLLEZIJP,"210","1",11005 BOOM
11005A10-,BOSSTRAAT,"211","1",11005 BOOM
11005A184,RECREATIE,"208","1",11005 BOOM
11005A191,KLEINE STEYLEN,"211","1",11005 BOOM
11005A20-,BAREEL-PARK,"210","1",11005 BOOM
11005A211,WATERTOREN,"212","1",11005 BOOM
11005A22-,GEBO,"213","1",11005 BOOM
11005A232,KORTE STRAAT,"208","1",11005 BOOM
11005A242,QUESELS,"212","1",11005 BOOM
11005A25-,VOSKEN,"212","1",11005 BOOM
11005A30-,PERTSGAD,"214","1",11005 BOOM
11005A39-,PARK,"214","1",11005 BOOM
11007A00-,BORSBEEK-CENTRUM,"215","1",11007 BORSBEEK
11007A01-,VOGELZANG,"215","1",11007 BORSBEEK
11007A020,ACHTERROT,"216","1",11007 BORSBEEK
11007A03-,VAN PUTLEI,"215","1",11007 BORSBEEK
11007A04-,OUDE SPRINKHAAN,"217","1",11007 BORSBEEK
11007A080,SCHOENDONK,"216","1",11007 BORSBEEK
11007A09-,FORT 3,"215","1",11007 BORSBEEK
11008A00-,VAGEVUURVELDEN,"218","1",11008 BRASSCHAAT
11008A01-,BRASSCHAAT-CENTRUM,"219","1",11008 BRASSCHAAT
11008A020,ZAND - HEISLAG,"220","1",11008 BRASSCHAAT
11008A03-,FORTUINBEEK,"221","1",11008 BRASSCHAAT
11008A04-,KLINIEK,"221","1",11008 BRASSCHAAT
11008A091,PARK,"219","1",11008 BRASSCHAAT
11008A0AA,NEERVELDEN,"222","1",11008 BRASSCHAAT
11008A0BJ,HEUVELS - RIETBEEMDEN,"220","1",11008 BRASSCHAAT
11008A0PA,TORENHOF - HOF TEN BOS,"222","1",11008 BRASSCHAAT
11008A10-,MIDDELKAART,"222","1",11008 BRASSCHAAT
11008A11-,LAGE KAART,"223","1",11008 BRASSCHAAT
11008A12-,HOGE KAART,"223","1",11008 BRASSCHAAT
11008A19-,EIKELENBERG,"224","1",11008 BRASSCHAAT
11008A20-,DRIEHOEK,"222","1",11008 BRASSCHAAT
11008A21-,BETHANIE,"225","1",11008 BRASSCHAAT
11008A22-,MISHAGEN,"224","1",11008 BRASSCHAAT
