CS01012021,T_SEC_NL,ZONENUMMER,STGB,NIS_GEM_L
62032A00-,ESNEUX-MONT,"4068","3",62032 ESNEUX
62032A01-,ESNEUX - RIVE DROITE,"4068","3",62032 ESNEUX
62032A02-,ESNEUX - RIVE GAUCHE,"4068","3",62032 ESNEUX
62032A030,CREVECOEUR,"4068","3",62032 ESNEUX
62032A04-,AVIOMPUITS,"4068","3",62032 ESNEUX
62032A05-,EVIEUX,"4068","3",62032 ESNEUX
62032A09-,HAM,"4068","3",62032 ESNEUX
62032A100,FONTIN-CENTRE,"4068","3",62032 ESNEUX
62032A190,FONTIN-HABITATIONS DISPERSEES,"4068","3",62032 ESNEUX
62032A29-,MONTFORT - SOUVERAIN PRE,"4068","3",62032 ESNEUX
62032A312,LA SALLE,"4068","3",62032 ESNEUX
62032A322,AMOSTRENNE,"4068","3",62032 ESNEUX
62032A381,ROND CHENE,"4068","3",62032 ESNEUX
62032A391,HOUTE-SI-PLOUT,"4068","3",62032 ESNEUX
62032A401,HONY - BAS,"4068","3",62032 ESNEUX
62032A412,HONY - HAUT,"4068","3",62032 ESNEUX
62032A422,AVISTER,"4068","3",62032 ESNEUX
62032A489,BOIS-DE-MONCEAU,"4068","3",62032 ESNEUX
62032A490,FECHEREUX,"4068","3",62032 ESNEUX
62032A510,MONCEAU,"4068","3",62032 ESNEUX
62032A710,MERY,"4068","3",62032 ESNEUX
62032B00-,TILFF-CENTRE,"4068","3",62032 ESNEUX
62032B01-,RIVE DROITE-AVAL,"4068","3",62032 ESNEUX
62032B02-,RIVE DROITE-AMONT,"4068","3",62032 ESNEUX
62032B03-,FOND DU MOULIN,"4068","3",62032 ESNEUX
62032B082,BRIALMONT,"4068","3",62032 ESNEUX
62032B091,VALLONS DE SAINVAL,"4068","3",62032 ESNEUX
62032B0AN,SUR LE MONT,"4068","3",62032 ESNEUX
62032B0BN,PRES DE TILFF,"4068","3",62032 ESNEUX
62032B110,SUR CORTIL,"4068","3",62032 ESNEUX
62032B121,BOIS DES CHEVREUILS,"4068","3",62032 ESNEUX
62032B20-,MERY-CENTRE,"4068","3",62032 ESNEUX
62032B21-,MERY-MONCEAU,"4068","3",62032 ESNEUX
62032B22-,MERY-CHAWRESSE,"4068","3",62032 ESNEUX
62032B2PN,BOIS DES MANANTS,"4068","3",62032 ESNEUX
62038A00-,WERIXHET,"3944","3",62038 FLERON
62038A01-,FLERON-CENTRE,"3944","3",62038 FLERON
62038A02-,CROUPET,"3944","3",62038 FLERON
62038A032,HEID DES CHENES,"3944","3",62038 FLERON
62038A091,FLERON-HABITATIONS DISPERSEES,"3944","3",62038 FLERON
62038A10-,LE CLEF-CENTRE,"3944","3",62038 FLERON
62038A11-,LA CLEF - HABITATIONS DISP.,"3944","3",62038 FLERON
62038A170,FORT,"3944","3",62038 FLERON
62038A20-,FLERON-CENTRE SUD-OUEST,"3944","3",62038 FLERON
62038A399,MOULIN-SOUS-FLERON,"3944","3",62038 FLERON
62038B000,BASSE-RETINNE,"3944","3",62038 FLERON
62038B010,LIERY NORD,"3944","3",62038 FLERON
62038B022,SAINTE-JULIENNE,"3944","3",62038 FLERON
62038B084,LONETTE,"3944","3",62038 FLERON
62038B091,MIERMONT - HABITATIONS DISP.,"3944","3",62038 FLERON
62038B101,RETINNE-GARE,"3944","3",62038 FLERON
62038B113,LIERY SUD,"3944","3",62038 FLERON
62038B172,SUR FOSSE,"3944","3",62038 FLERON
62038B200,GRAND'ROUTE,"3944","3",62038 FLERON
62038B212,CHAPELLE-A-LA-LICE,"3944","3",62038 FLERON
62038B22-,BUREAUX,"3944","3",62038 FLERON
62038B291,TROIS-CHENES,"3944","3",62038 FLERON
62038C00-,MAGNEE-CENTRE,"3945","3",62038 FLERON
62038C01-,CHANTRAINE,"3945","3",62038 FLERON
62038C022,SOH LUSE,"3945","3",62038 FLERON
62038C033,SANATORIUM CHANTRAINE,"3945","3",62038 FLERON
62038C091,MAGNEE-HABITATIONS DISPERSEES,"3945","3",62038 FLERON
62038C11-,ROMSEE EST,"3945","3",62038 FLERON
"62038D001",ROMSEE-CENTRE,"3945","3",62038 FLERON
"62038D012",VERTE VOIE,"3945","3",62038 FLERON
"62038D023",LES SAULES,"3945","3",62038 FLERON
"62038D032",STEPPES,"3945","3",62038 FLERON
"62038D091",ROMSEE-HABITATIONS DISPERSEES,"3945","3",62038 FLERON
62038D10-,BOUNY-CENTRE,"3945","3",62038 FLERON
"62038D191",LE SAUNY,"3945","3",62038 FLERON
"62038D213",EL HEURE,"3945","3",62038 FLERON
"62038D294",CIMETIERE,"3945","3",62038 FLERON
"62038D312",LES GROTTES,"3945","3",62038 FLERON
6205111MQ,QUARTIER DU MILSAUCY,"3681","3",62051 HERSTAL
