osmid,landuse,ZONENUMMER,STGB,NIS_GEM,NIS_GEM_L,VREGIO,VREGIO_L,area_calc
"226683373",residential,"2950","1","71022",71022 HASSELT,"8",LIMBURG,0.00190982545994408
"226683374",residential,"2950","1","71022",71022 HASSELT,"8",LIMBURG,0.00170648037296161
"226683378",residential,"2950","1","71022",71022 HASSELT,"8",LIMBURG,0.00154612074920908
"226691494",residential,"2950","1","71022",71022 HASSELT,"8",LIMBURG,0.0192299377200976
"227310757",residential,"2950","1","71022",71022 HASSELT,"8",LIMBURG,0.0176580215141568
"227316960",residential,"2950","1","71022",71022 HASSELT,"8",LIMBURG,0.00699627474188618
"227316972",residential,"2950","1","71022",71022 HASSELT,"8",LIMBURG,0.0181637167311124
"227316987",residential,"2950","1","71022",71022 HASSELT,"8",LIMBURG,0.00159701199619845
"227319393",residential,"2947","1","71022",71022 HASSELT,"8",LIMBURG,0.0194794285894334
"227319404",residential,"2947","1","71022",71022 HASSELT,"8",LIMBURG,0.00122008586695744
"227319416",residential,"2947","1","71022",71022 HASSELT,"8",LIMBURG,0.0069885826356709
"227319423",residential,"2947","1","71022",71022 HASSELT,"8",LIMBURG,0.0207616252627075
"227319424",residential,"2947","1","71022",71022 HASSELT,"8",LIMBURG,0.0154481336070783
"227319426",residential,"2947","1","71022",71022 HASSELT,"8",LIMBURG,0.00458297830691189
"227319429",residential,"2947","1","71022",71022 HASSELT,"8",LIMBURG,0.0116928083683047
"227321764",residential,"2947","1","71022",71022 HASSELT,"8",LIMBURG,0.00452345675708354
"227321780",residential,"2947","1","71022",71022 HASSELT,"8",LIMBURG,0.0114422015602393
"227321802",residential,"2947","1","71022",71022 HASSELT,"8",LIMBURG,0.00188214901086688
"227327031",residential,"2947","1","71022",71022 HASSELT,"8",LIMBURG,0.00744050161522999
"227327036",residential,"2947","1","71022",71022 HASSELT,"8",LIMBURG,0.00823502357204817
"227327041",residential,"2947","1","71022",71022 HASSELT,"8",LIMBURG,0.0236011135437675
"227327056",residential,"2947","1","71022",71022 HASSELT,"8",LIMBURG,0.0150761321974732
"227327061",residential,"2947","1","71022",71022 HASSELT,"8",LIMBURG,0.00181025737056509
"227327063",residential,"2947","1","71022",71022 HASSELT,"8",LIMBURG,0.000901091863784008
"227327067",residential,"2947","1","71022",71022 HASSELT,"8",LIMBURG,0.00880222004176676
"227327068",residential,"2947","1","71022",71022 HASSELT,"8",LIMBURG,0.00339460214302689
"227328666",residential,"2947","1","71022",71022 HASSELT,"8",LIMBURG,0.0105795828526011
"227328667",residential,"2947","1","71022",71022 HASSELT,"8",LIMBURG,0.00633326889037667
