osmid,landuse,ZONENUMMER,STGB,NIS_GEM,NIS_GEM_L,VREGIO,VREGIO_L,Area_calc
"87384577",industrial,"1480","1","24062",24062 LEUVEN,"7",LEUVEN,0.096470739762336
"87384579",residential,"1480","1","24062",24062 LEUVEN,"7",LEUVEN,0.00154785903956834
"87384580",residential,"1480","1","24062",24062 LEUVEN,"7",LEUVEN,3.20755896130577e-05
"87453196",residential,"1480","1","24062",24062 LEUVEN,"7",LEUVEN,0.0414387482964392
"87506752",residential,"1492","1","24062",24062 LEUVEN,"7",LEUVEN,0.0141711975344685
"88327161",residential,"1470","1","24062",24062 LEUVEN,"7",LEUVEN,0.00671511130073201
"88798271",residential,"1466","1","24062",24062 LEUVEN,"7",LEUVEN,0.019440964241663
"88798271",residential,"1474","1","24062",24062 LEUVEN,"7",LEUVEN,0.00696666869595181
"88798271",residential,"1475","1","24062",24062 LEUVEN,"7",LEUVEN,2.30736752711236e-05
"89049126",residential,"1474","1","24062",24062 LEUVEN,"7",LEUVEN,0.571838265526582
"89049242",residential,"1474","1","24062",24062 LEUVEN,"7",LEUVEN,0.022527120728299
"89299922",industrial,"1494","1","24062",24062 LEUVEN,"7",LEUVEN,0.00755198535136878
"89665487",residential,"1498","1","24062",24062 LEUVEN,"7",LEUVEN,0.00304690019136667
"89687942",residential,"1480","1","24062",24062 LEUVEN,"7",LEUVEN,0.0138826945151985
"89687982",residential,"1498","1","24062",24062 LEUVEN,"7",LEUVEN,0.00819632647626102
"89687982",residential,"1500","1","24062",24062 LEUVEN,"7",LEUVEN,0.0204772894280404
"89687993",residential,"1480","1","24062",24062 LEUVEN,"7",LEUVEN,0.197206232526028
"89688002",residential,"1498","1","24062",24062 LEUVEN,"7",LEUVEN,0.0119293148181867
"90642467",industrial,"1499","1","24062",24062 LEUVEN,"7",LEUVEN,0.0107889511775123
"90882595",industrial,"1499","1","24062",24062 LEUVEN,"7",LEUVEN,0.0209196241715848
