Origin,Destination,Date range: 2021-01-04 - 2021-01-29 Time range: 07:00 - 09:00
Region 6,Region 10,0
Region 6,Region 11,0
Region 6,Region 12,0
Region 6,Region 13,1
Region 6,Region 14,0
Region 6,Region 15,0
Region 6,Region 16,0
Region 6,Region 17,1
Region 6,Region 18,1
Region 6,Region 19,1
Region 6,Region 20,0
Region 6,Region 21,0
Region 6,Region 22,0
Region 6,Region 23,4
Region 6,Region 24,1
Region 6,Region 25,0
Region 6,Region 26,0
Region 6,Region 27,1
Region 6,Region 28,0
Region 6,Region 29,1
Region 6,Region 30,0
Region 6,Region 31,0
Region 6,Region 32,0
Region 6,Region 33,0
Region 6,Region 34,0
Region 6,Region 35,2
Region 6,Region 36,0
Region 6,Region 37,0
Region 6,Region 38,0
Region 6,Region 39,0
Region 6,Region 40,1
Region 6,Region 41,0
Region 6,Region 42,1
Region 6,Region 43,0
Region 6,Region 44,0
Region 7,Region 1,0
Region 7,Region 2,5
Region 7,Region 3,0
Region 7,Region 4,0
Region 7,Region 5,3
Region 7,Region 6,0
Region 7,Region 7,2
Region 7,Region 8,5
Region 7,Region 9,5
Region 7,Region 10,0
Region 7,Region 11,0
Region 7,Region 12,0
Region 7,Region 13,0
Region 7,Region 14,0
Region 7,Region 15,2
Region 7,Region 16,0
Region 7,Region 17,3
Region 7,Region 18,6
Region 7,Region 19,1
Region 7,Region 20,0
Region 7,Region 21,1
Region 7,Region 22,0
Region 7,Region 23,0
Region 7,Region 24,1
Region 7,Region 25,0
Region 7,Region 26,0
Region 7,Region 27,0
Region 7,Region 28,0
Region 7,Region 29,2
Region 7,Region 30,2
Region 7,Region 31,0
Region 7,Region 32,0
Region 7,Region 33,2
Region 7,Region 34,0
Region 7,Region 35,6
Region 7,Region 36,0
Region 7,Region 37,0
Region 7,Region 38,0
Region 7,Region 39,0
Region 7,Region 40,0
Region 7,Region 41,0
Region 7,Region 42,2
Region 7,Region 43,3
Region 7,Region 44,0
Region 8,Region 1,0
Region 8,Region 2,18
Region 8,Region 3,0
Region 8,Region 4,1
Region 8,Region 5,6
Region 8,Region 6,1
Region 8,Region 7,1
Region 8,Region 8,8
Region 8,Region 9,16
Region 8,Region 10,0
Region 8,Region 11,0
Region 8,Region 12,10
Region 8,Region 13,0
Region 8,Region 14,1
Region 8,Region 15,3
Region 8,Region 16,0
Region 8,Region 17,17
Region 8,Region 18,1
Region 8,Region 19,0
Region 8,Region 20,2
Region 8,Region 21,1
Region 8,Region 22,0
Region 8,Region 23,0
Region 8,Region 24,3
Region 8,Region 25,0
Region 8,Region 26,1
Region 8,Region 27,0
Region 8,Region 28,0
Region 8,Region 29,1
Region 8,Region 30,2
Region 8,Region 31,0
Region 8,Region 32,1
Region 8,Region 33,4
Region 8,Region 34,1
Region 8,Region 35,29
Region 8,Region 36,0
Region 8,Region 37,4
Region 8,Region 38,1
Region 8,Region 39,0
Region 8,Region 40,2
Region 8,Region 41,0
Region 8,Region 42,5
Region 8,Region 43,1
Region 8,Region 44,0
Region 9,Region 1,3
Region 9,Region 2,48
Region 9,Region 3,27
Region 9,Region 4,24
Region 9,Region 5,20
Region 9,Region 6,28
Region 9,Region 7,10
Region 9,Region 8,5
Region 9,Region 9,613
Region 9,Region 10,3
Region 9,Region 11,0
Region 9,Region 12,30
Region 9,Region 13,55
Region 9,Region 14,26
Region 9,Region 15,61
Region 9,Region 16,80
Region 9,Region 17,667
Region 9,Region 18,48
Region 9,Region 19,44
Region 9,Region 20,91
Region 9,Region 21,4
Region 9,Region 22,6
Region 9,Region 23,29
Region 9,Region 24,46
Region 9,Region 25,2
Region 9,Region 26,16
Region 9,Region 27,53
Region 9,Region 28,17
Region 9,Region 29,36
Region 9,Region 30,32
Region 9,Region 31,12
Region 9,Region 32,6
Region 9,Region 33,33
Region 9,Region 34,35
Region 9,Region 35,690
Region 9,Region 36,10
Region 9,Region 37,231
Region 9,Region 38,16
Region 9,Region 39,33
Region 9,Region 40,36
Region 9,Region 41,0
Region 9,Region 42,230
Region 9,Region 43,96
Region 9,Region 44,10
Region 10,Region 1,0
Region 10,Region 2,0
Region 10,Region 3,0
Region 10,Region 4,0
Region 10,Region 5,0
Region 10,Region 6,0
Region 10,Region 7,0
Region 10,Region 8,0
Region 10,Region 9,0
Region 10,Region 10,2
Region 10,Region 11,0
Region 10,Region 12,1
Region 10,Region 13,1
Region 10,Region 14,0
Region 10,Region 15,0
Region 10,Region 16,0
Region 10,Region 17,9
Region 10,Region 18,2
Region 10,Region 19,3
Region 10,Region 20,5
Region 10,Region 21,0
Region 10,Region 22,0
Region 10,Region 23,2
Region 10,Region 24,2
Region 10,Region 25,0
Region 10,Region 26,0
Region 10,Region 27,0
Region 10,Region 28,0
Region 10,Region 29,1
Region 10,Region 30,1
Region 10,Region 31,0
Region 10,Region 32,0
Region 10,Region 33,0
Region 10,Region 34,0
Region 10,Region 35,9
Region 10,Region 36,0
Region 10,Region 37,1
Region 10,Region 38,0
Region 10,Region 39,0
Region 10,Region 40,0
Region 10,Region 41,0
Region 10,Region 42,1
Region 10,Region 43,2
Region 10,Region 44,1
Region 11,Region 1,0
Region 11,Region 2,0
Region 11,Region 3,3
Region 11,Region 4,0
Region 11,Region 5,0
Region 11,Region 6,0
Region 11,Region 7,0
Region 11,Region 8,0
Region 11,Region 9,5
Region 11,Region 10,0
Region 11,Region 11,1
Region 11,Region 12,0
Region 11,Region 13,3
Region 11,Region 14,1
Region 11,Region 15,0
Region 11,Region 16,0
Region 11,Region 17,2
Region 11,Region 18,0
Region 11,Region 19,0
Region 11,Region 20,1
Region 11,Region 21,0
Region 11,Region 22,0
Region 11,Region 23,0
Region 11,Region 24,1
Region 11,Region 25,0
Region 11,Region 26,0
Region 11,Region 27,2
Region 11,Region 28,0
Region 11,Region 29,0
Region 11,Region 30,0
Region 11,Region 31,0
Region 11,Region 32,0
Region 11,Region 33,0
Region 11,Region 34,1
Region 11,Region 35,2
Region 11,Region 36,0
Region 11,Region 37,0
Region 11,Region 38,1
Region 11,Region 39,1
Region 11,Region 40,1
Region 11,Region 41,0
Region 11,Region 42,4
Region 11,Region 43,1
Region 11,Region 44,1
Region 12,Region 1,0
Region 12,Region 2,3
Region 12,Region 3,1
Region 12,Region 4,0
Region 12,Region 5,1
Region 12,Region 6,7
Region 12,Region 7,2
Region 12,Region 8,0
Region 12,Region 9,10
Region 12,Region 10,1
Region 12,Region 11,2
Region 12,Region 12,8
Region 12,Region 13,13
Region 12,Region 14,3
Region 12,Region 15,2
Region 12,Region 16,1
Region 12,Region 17,47
Region 12,Region 18,1
Region 12,Region 19,9
Region 12,Region 20,7
Region 12,Region 21,0
Region 12,Region 22,1
Region 12,Region 23,2
Region 12,Region 24,19
Region 12,Region 25,3
Region 12,Region 26,0
Region 12,Region 27,3
Region 12,Region 28,2
Region 12,Region 29,6
Region 12,Region 30,2
Region 12,Region 31,0
Region 12,Region 32,0
Region 12,Region 33,8
Region 12,Region 34,3
Region 12,Region 35,33
Region 12,Region 36,1
Region 12,Region 37,2
Region 12,Region 38,10
Region 12,Region 39,0
Region 12,Region 40,20
Region 12,Region 41,0
Region 12,Region 42,10
Region 12,Region 43,8
Region 12,Region 44,1
Region 13,Region 1,0
Region 13,Region 2,2
Region 13,Region 3,12
Region 13,Region 4,18
Region 13,Region 5,2
Region 13,Region 6,0
Region 13,Region 7,1
Region 13,Region 8,1
Region 13,Region 9,15
Region 13,Region 10,1
Region 13,Region 11,1
Region 13,Region 12,12
Region 13,Region 13,44
Region 13,Region 14,20
Region 13,Region 15,17
Region 13,Region 16,15
Region 13,Region 17,72
Region 13,Region 18,3
Region 13,Region 19,12
Region 13,Region 20,7
Region 13,Region 21,1
Region 13,Region 22,3
Region 13,Region 23,8
Region 13,Region 24,29
Region 13,Region 25,0
Region 13,Region 26,1
Region 13,Region 27,32
Region 13,Region 28,12
Region 13,Region 29,28
Region 13,Region 30,3
Region 13,Region 31,3
Region 13,Region 32,26
Region 13,Region 33,30
Region 13,Region 34,5
Region 13,Region 35,196
Region 13,Region 36,12
Region 13,Region 37,7
Region 13,Region 38,7
Region 13,Region 39,5
Region 13,Region 40,20
Region 13,Region 41,3
Region 13,Region 42,17
Region 13,Region 43,0
Region 13,Region 44,6
Region 14,Region 1,4
Region 14,Region 2,9
Region 14,Region 3,19
Region 14,Region 4,4
Region 14,Region 5,1
