Origin,Destination,Date range: 2021-01-25 - 2021-01-29 Time range: 07:00 - 09:00
Region 8,Region 15,3
Region 8,Region 16,0
Region 8,Region 17,3
Region 8,Region 18,1
Region 8,Region 19,1
Region 8,Region 20,7
Region 8,Region 21,1
Region 8,Region 22,25
Region 8,Region 23,0
Region 8,Region 24,0
Region 8,Region 25,1
Region 8,Region 26,1
Region 8,Region 27,7
Region 8,Region 28,2
Region 8,Region 29,6
Region 8,Region 30,5
Region 8,External,175
Region 9,Region 1,0
Region 9,Region 2,0
Region 9,Region 3,2
Region 9,Region 4,1
Region 9,Region 5,13
Region 9,Region 6,1
Region 9,Region 7,1
Region 9,Region 8,2
Region 9,Region 9,21
Region 9,Region 10,5
Region 9,Region 11,7
Region 9,Region 12,2
Region 9,Region 13,0
Region 9,Region 14,6
Region 9,Region 15,5
Region 9,Region 16,0
Region 9,Region 17,0
Region 9,Region 18,0
Region 9,Region 19,3
Region 9,Region 20,1
Region 9,Region 21,1
Region 9,Region 22,2
Region 9,Region 23,0
Region 9,Region 24,2
Region 9,Region 25,0
Region 9,Region 26,0
Region 9,Region 27,21
Region 9,Region 28,16
Region 9,Region 29,1
Region 9,Region 30,2
Region 9,External,66
Region 10,Region 1,0
Region 10,Region 2,2
Region 10,Region 3,2
Region 10,Region 4,0
Region 10,Region 5,4
Region 10,Region 6,0
Region 10,Region 7,1
Region 10,Region 8,1
Region 10,Region 9,6
Region 10,Region 10,3
Region 10,Region 11,0
Region 10,Region 12,2
Region 10,Region 13,1
Region 10,Region 14,1
Region 10,Region 15,2
Region 10,Region 16,0
Region 10,Region 17,0
Region 10,Region 18,1
Region 10,Region 19,1
Region 10,Region 20,3
Region 10,Region 21,0
Region 10,Region 22,1
Region 10,Region 23,0
Region 10,Region 24,5
Region 10,Region 25,0
Region 10,Region 26,4
Region 10,Region 27,6
Region 10,Region 28,10
Region 10,Region 29,0
Region 10,Region 30,1
Region 10,External,49
Region 11,Region 1,2
Region 11,Region 2,3
Region 11,Region 3,0
Region 11,Region 4,0
Region 11,Region 5,7
Region 11,Region 6,3
Region 11,Region 7,2
Region 11,Region 8,0
Region 11,Region 9,4
Region 11,Region 10,2
