Origin,Destination,Date range: 2021-01-25 - 2021-01-29 Time range: 07:00 - 09:00
Region 8,Region 19,2
Region 8,Region 20,0
Region 8,Region 21,0
Region 8,Region 22,13
Region 8,Region 23,3
Region 8,Region 24,3
Region 8,Region 25,2
Region 8,Region 26,4
Region 8,Region 27,11
Region 8,Region 28,4
Region 8,Region 29,1
Region 8,Region 30,4
Region 8,Region 31,4
Region 8,Region 32,0
Region 8,Region 33,25
Region 8,Region 34,2
Region 8,Region 35,9
Region 9,Region 1,0
Region 9,Region 2,0
Region 9,Region 3,2
Region 9,Region 4,3
Region 9,Region 5,0
Region 9,Region 6,0
Region 9,Region 7,3
Region 9,Region 8,0
Region 9,Region 9,6
Region 9,Region 10,22
Region 9,Region 11,0
Region 9,Region 12,0
Region 9,Region 13,5
Region 9,Region 14,0
Region 9,Region 15,0
Region 9,Region 16,2
Region 9,Region 17,0
Region 9,Region 18,5
Region 9,Region 19,1
Region 9,Region 20,1
Region 9,Region 21,0
Region 9,Region 22,17
Region 9,Region 23,2
Region 9,Region 24,4
Region 9,Region 25,0
Region 9,Region 26,5
Region 9,Region 27,5
Region 9,Region 28,2
Region 9,Region 29,1
Region 9,Region 30,0
Region 9,Region 31,0
Region 9,Region 32,0
Region 9,Region 33,15
Region 9,Region 34,1
Region 9,Region 35,2
Region 10,Region 1,16
Region 10,Region 2,18
Region 10,Region 3,38
Region 10,Region 4,67
Region 10,Region 5,18
Region 10,Region 6,61
Region 10,Region 7,54
Region 10,Region 8,20
Region 10,Region 9,34
Region 10,Region 10,516
Region 10,Region 11,17
Region 10,Region 12,19
Region 10,Region 13,39
Region 10,Region 14,72
Region 10,Region 15,20
Region 10,Region 16,43
Region 10,Region 17,16
Region 10,Region 18,57
Region 10,Region 19,16
Region 10,Region 20,5
Region 10,Region 21,5
Region 10,Region 22,137
Region 10,Region 23,38
Region 10,Region 24,67
Region 10,Region 25,16
Region 10,Region 26,50
Region 10,Region 27,334
Region 10,Region 28,88
Region 10,Region 29,28
Region 10,Region 30,13
Region 10,Region 31,49
Region 10,Region 32,16
Region 10,Region 33,1360
Region 10,Region 34,41
Region 10,Region 35,43
Region 11,Region 1,1
Region 11,Region 2,1
Region 11,Region 3,4
Region 11,Region 4,2
Region 11,Region 5,0
Region 11,Region 6,2
Region 11,Region 7,5
Region 11,Region 8,2
Region 11,Region 9,0
Region 11,Region 10,4
Region 11,Region 11,16
Region 11,Region 12,9
Region 11,Region 13,6
Region 11,Region 14,5
Region 11,Region 15,1
Region 11,Region 16,1
Region 11,Region 17,0
Region 11,Region 18,6
Region 11,Region 19,0
Region 11,Region 20,1
Region 11,Region 21,7
Region 11,Region 22,4
Region 11,Region 23,1
Region 11,Region 24,10
Region 11,Region 25,0
Region 11,Region 26,1
Region 11,Region 27,7
Region 11,Region 28,4
Region 11,Region 29,1
Region 11,Region 30,0
Region 11,Region 31,2
Region 11,Region 32,1
Region 11,Region 33,21
Region 11,Region 34,0
Region 11,Region 35,3
Region 12,Region 1,3
Region 12,Region 2,0
Region 12,Region 3,5
Region 12,Region 4,9
Region 12,Region 5,3
Region 12,Region 6,8
Region 12,Region 7,4
Region 12,Region 8,7
Region 12,Region 9,3
Region 12,Region 10,14
Region 12,Region 11,4
Region 12,Region 12,14
Region 12,Region 13,7
Region 12,Region 14,11
Region 12,Region 15,7
Region 12,Region 16,13
Region 12,Region 17,0
Region 12,Region 18,9
Region 12,Region 19,1
Region 12,Region 20,3
Region 12,Region 21,7
Region 12,Region 22,15
Region 12,Region 23,0
Region 12,Region 24,31
Region 12,Region 25,3
Region 12,Region 26,4
Region 12,Region 27,14
Region 12,Region 28,8
Region 12,Region 29,3
Region 12,Region 30,1
Region 12,Region 31,3
Region 12,Region 32,1
Region 12,Region 33,32
Region 12,Region 34,0
Region 12,Region 35,2
Region 13,Region 1,1
Region 13,Region 2,0
Region 13,Region 3,3
Region 13,Region 4,2
Region 13,Region 5,2
Region 13,Region 6,3
