Origin,Destination,Date range: 2021-01-25 - 2021-01-29 Time range: 07:00 - 09:00
Region 7,Region 16,1
Region 7,Region 17,1
Region 7,Region 18,2
Region 7,Region 19,0
Region 7,Region 20,2
Region 7,Region 21,1
Region 7,Region 22,2
Region 7,Region 23,0
Region 7,Region 24,0
Region 7,Region 25,1
Region 7,Region 26,0
Region 7,Region 27,1
Region 7,Region 28,2
Region 7,Region 29,0
Region 7,Region 30,1
Region 7,Region 31,0
Region 7,Region 32,1
Region 7,Region 33,1
Region 7,Region 34,0
Region 7,Region 35,0
Region 7,External,63
Region 8,Region 1,2
Region 8,Region 2,2
Region 8,Region 3,6
Region 8,Region 4,10
Region 8,Region 5,1
Region 8,Region 6,2
Region 8,Region 7,4
Region 8,Region 8,9
Region 8,Region 9,0
Region 8,Region 10,15
Region 8,Region 11,4
Region 8,Region 12,3
Region 8,Region 13,3
Region 8,Region 14,3
Region 8,Region 15,1
Region 8,Region 16,3
Region 8,Region 17,1
Region 8,Region 18,5
Region 8,Region 19,0
Region 8,Region 20,0
Region 8,Region 21,0
Region 8,Region 22,3
Region 8,Region 23,1
Region 8,Region 24,0
Region 8,Region 25,2
Region 8,Region 26,1
Region 8,Region 27,3
Region 8,Region 28,3
Region 8,Region 29,1
Region 8,Region 30,4
Region 8,Region 31,2
Region 8,Region 32,0
Region 8,Region 33,2
Region 8,Region 34,1
Region 8,Region 35,6
Region 8,External,39
Region 9,Region 1,0
Region 9,Region 2,0
Region 9,Region 3,2
Region 9,Region 4,3
Region 9,Region 5,0
Region 9,Region 6,0
Region 9,Region 7,2
Region 9,Region 8,0
Region 9,Region 9,4
Region 9,Region 10,13
Region 9,Region 11,0
Region 9,Region 12,0
Region 9,Region 13,5
Region 9,Region 14,0
Region 9,Region 15,0
Region 9,Region 16,1
Region 9,Region 17,0
Region 9,Region 18,5
Region 9,Region 19,0
Region 9,Region 20,0
Region 9,Region 21,0
Region 9,Region 22,3
Region 9,Region 23,2
Region 9,Region 24,0
Region 9,Region 25,0
Region 9,Region 26,0
Region 9,Region 27,1
Region 9,Region 28,2
Region 9,Region 29,0
Region 9,Region 30,0
Region 9,Region 31,0
Region 9,Region 32,0
Region 9,Region 33,1
Region 9,Region 34,0
Region 9,Region 35,1
Region 9,External,40
Region 10,Region 1,6
Region 10,Region 2,4
Region 10,Region 3,9
Region 10,Region 4,37
Region 10,Region 5,6
Region 10,Region 6,14
Region 10,Region 7,32
Region 10,Region 8,15
Region 10,Region 9,10
Region 10,Region 10,83
Region 10,Region 11,3
Region 10,Region 12,7
Region 10,Region 13,3
Region 10,Region 14,12
Region 10,Region 15,3
Region 10,Region 16,13
Region 10,Region 17,2
Region 10,Region 18,13
Region 10,Region 19,3
Region 10,Region 20,3
Region 10,Region 21,0
Region 10,Region 22,39
Region 10,Region 23,10
Region 10,Region 24,1
Region 10,Region 25,9
Region 10,Region 26,2
Region 10,Region 27,7
Region 10,Region 28,5
Region 10,Region 29,7
Region 10,Region 30,4
Region 10,Region 31,6
Region 10,Region 32,2
Region 10,Region 33,3
Region 10,Region 34,0
Region 10,Region 35,8
Region 10,External,264
Region 11,Region 1,1
Region 11,Region 2,1
Region 11,Region 3,2
Region 11,Region 4,2
Region 11,Region 5,0
Region 11,Region 6,1
Region 11,Region 7,4
Region 11,Region 8,2
Region 11,Region 9,0
Region 11,Region 10,2
Region 11,Region 11,12
Region 11,Region 12,5
Region 11,Region 13,6
Region 11,Region 14,4
Region 11,Region 15,1
Region 11,Region 16,1
Region 11,Region 17,0
Region 11,Region 18,6
Region 11,Region 19,0
Region 11,Region 20,1
Region 11,Region 21,0
Region 11,Region 22,1
Region 11,Region 23,0
Region 11,Region 24,0
Region 11,Region 25,0
Region 11,Region 26,0
Region 11,Region 27,0
Region 11,Region 28,4
Region 11,Region 29,1
Region 11,Region 30,0
Region 11,Region 31,0
Region 11,Region 32,0
Region 11,Region 33,0
Region 11,Region 34,0
Region 11,Region 35,0
Region 11,External,45
Region 12,Region 1,3
Region 12,Region 2,0
Region 12,Region 3,5
Region 12,Region 4,9
Region 12,Region 5,2
Region 12,Region 6,7
Region 12,Region 7,4
Region 12,Region 8,7
Region 12,Region 9,2
Region 12,Region 10,7
Region 12,Region 11,3
Region 12,Region 12,11
Region 12,Region 13,5
Region 12,Region 14,8
Region 12,Region 15,7
Region 12,Region 16,11
Region 12,Region 17,0
Region 12,Region 18,6
Region 12,Region 19,1
Region 12,Region 20,2
Region 12,Region 21,0
Region 12,Region 22,4
Region 12,Region 23,0
Region 12,Region 24,2
Region 12,Region 25,3
Region 12,Region 26,0
Region 12,Region 27,0
Region 12,Region 28,6
Region 12,Region 29,3
Region 12,Region 30,1
Region 12,Region 31,3
Region 12,Region 32,0
Region 12,Region 33,1
Region 12,Region 34,0
Region 12,Region 35,0
Region 12,External,88
Region 13,Region 1,1
Region 13,Region 2,0
Region 13,Region 3,3
Region 13,Region 4,2
Region 13,Region 5,2
Region 13,Region 6,3
Region 13,Region 7,6
Region 13,Region 8,4
Region 13,Region 9,2
Region 13,Region 10,11
Region 13,Region 11,4
Region 13,Region 12,2
Region 13,Region 13,14
Region 13,Region 14,7
Region 13,Region 15,3
Region 13,Region 16,1
Region 13,Region 17,0
Region 13,Region 18,5
Region 13,Region 19,0
Region 13,Region 20,2
Region 13,Region 21,1
Region 13,Region 22,3
Region 13,Region 23,2
Region 13,Region 24,1
Region 13,Region 25,0
Region 13,Region 26,1
Region 13,Region 27,5
Region 13,Region 28,2
Region 13,Region 29,0
Region 13,Region 30,1
Region 13,Region 31,0
Region 13,Region 32,0
Region 13,Region 33,1
Region 13,Region 34,0
Region 13,Region 35,3
Region 13,External,102
Region 14,Region 1,1
Region 14,Region 2,0
Region 14,Region 3,4
Region 14,Region 4,3
Region 14,Region 5,2
Region 14,Region 6,8
Region 14,Region 7,2
Region 14,Region 8,8
Region 14,Region 9,1
Region 14,Region 10,4
Region 14,Region 11,7
Region 14,Region 12,5
Region 14,Region 13,15
Region 14,Region 14,8
Region 14,Region 15,9
Region 14,Region 16,7
Region 14,Region 17,5
Region 14,Region 18,10
Region 14,Region 19,0
Region 14,Region 20,2
Region 14,Region 21,0
Region 14,Region 22,3
Region 14,Region 23,2
Region 14,Region 24,1
Region 14,Region 25,0
Region 14,Region 26,0
Region 14,Region 27,4
Region 14,Region 28,10
Region 14,Region 29,3
Region 14,Region 30,1
Region 14,Region 31,1
Region 14,Region 32,0
Region 14,Region 33,4
Region 14,Region 34,1
Region 14,Region 35,6
Region 14,External,128
Region 15,Region 1,1
Region 15,Region 2,1
Region 15,Region 3,0
Region 15,Region 4,4
Region 15,Region 5,1
Region 15,Region 6,1
Region 15,Region 7,1
Region 15,Region 8,1
Region 15,Region 9,0
Region 15,Region 10,2
Region 15,Region 11,0
Region 15,Region 12,1
Region 15,Region 13,3
Region 15,Region 14,7
Region 15,Region 15,7
Region 15,Region 16,7
Region 15,Region 17,1
Region 15,Region 18,7
Region 15,Region 19,1
Region 15,Region 20,0
Region 15,Region 21,0
Region 15,Region 22,1
Region 15,Region 23,2
Region 15,Region 24,0
Region 15,Region 25,1
Region 15,Region 26,0
Region 15,Region 27,1
Region 15,Region 28,5
Region 15,Region 29,1
Region 15,Region 30,4
Region 15,Region 31,0
Region 15,Region 32,0
Region 15,Region 33,1
Region 15,Region 34,0
Region 15,Region 35,1
Region 15,External,70
Region 16,Region 1,0
Region 16,Region 2,1
Region 16,Region 3,2
Region 16,Region 4,2
Region 16,Region 5,0
Region 16,Region 6,7
Region 16,Region 7,1
Region 16,Region 8,8
Region 16,Region 9,3
Region 16,Region 10,6
Region 16,Region 11,4
Region 16,Region 12,4
Region 16,Region 13,0
Region 16,Region 14,6
Region 16,Region 15,6
Region 16,Region 16,12
Region 16,Region 17,0
Region 16,Region 18,10
Region 16,Region 19,1
Region 16,Region 20,0
Region 16,Region 21,0
Region 16,Region 22,2
Region 16,Region 23,2
Region 16,Region 24,0
Region 16,Region 25,4
Region 16,Region 26,0
Region 16,Region 27,2
Region 16,Region 28,7
Region 16,Region 29,2
Region 16,Region 30,0
Region 16,Region 31,0
Region 16,Region 32,0
Region 16,Region 33,1
Region 16,Region 34,0
Region 16,Region 35,1
Region 16,External,115
Region 17,Region 1,1
Region 17,Region 2,0
Region 17,Region 3,1
Region 17,Region 4,1
Region 17,Region 5,0
Region 17,Region 6,1
Region 17,Region 7,2
Region 17,Region 8,0
Region 17,Region 9,0
Region 17,Region 10,0
Region 17,Region 11,0
Region 17,Region 12,2
Region 17,Region 13,0
Region 17,Region 14,3
Region 17,Region 15,0
Region 17,Region 16,2
Region 17,Region 17,0
Region 17,Region 18,1
Region 17,Region 19,0
Region 17,Region 20,0
Region 17,Region 21,0
Region 17,Region 22,0
Region 17,Region 23,0
Region 17,Region 24,0
Region 17,Region 25,0
Region 17,Region 26,0
Region 17,Region 27,0
Region 17,Region 28,6
Region 17,Region 29,0
Region 17,Region 30,1
Region 17,Region 31,0
Region 17,Region 32,0
Region 17,Region 33,0
Region 17,Region 34,1
Region 17,Region 35,0
Region 17,External,11
Region 18,Region 1,3
Region 18,Region 2,8
Region 18,Region 3,5
Region 18,Region 4,13
Region 18,Region 5,8
Region 18,Region 6,18
Region 18,Region 7,4
Region 18,Region 8,0
Region 18,Region 9,1
Region 18,Region 10,10
Region 18,Region 11,7
Region 18,Region 12,10
Region 18,Region 13,0
Region 18,Region 14,2
Region 18,Region 15,4
Region 18,Region 16,7
Region 18,Region 17,3
Region 18,Region 18,39
Region 18,Region 19,19
Region 18,Region 20,2
Region 18,Region 21,13
Region 18,Region 22,10
Region 18,Region 23,4
Region 18,Region 24,21
Region 18,Region 25,12
Region 18,Region 26,0
Region 18,Region 27,5
Region 18,Region 28,10
Region 18,Region 29,3
Region 18,Region 30,9
Region 18,Region 31,0
Region 18,Region 32,1
Region 18,Region 33,4
Region 18,Region 34,1
Region 18,Region 35,1
Region 18,External,194
Region 19,Region 1,0
Region 19,Region 2,2
Region 19,Region 3,1
Region 19,Region 4,3
Region 19,Region 5,1
Region 19,Region 6,3
Region 19,Region 7,1
Region 19,Region 8,3
