Origin,Destination,Date range: 2021-01-25 - 2021-01-29 Time range: 07:00 - 09:00
Region 6,Region 40,0
Region 6,Region 41,0
Region 6,Region 42,0
Region 6,Region 43,0
Region 6,Region 44,0
Region 6,External,1
Region 7,Region 1,0
Region 7,Region 2,2
Region 7,Region 3,0
Region 7,Region 4,0
Region 7,Region 5,0
Region 7,Region 6,0
Region 7,Region 7,0
Region 7,Region 8,0
Region 7,Region 9,1
Region 7,Region 10,0
Region 7,Region 11,0
Region 7,Region 12,0
Region 7,Region 13,0
Region 7,Region 14,0
Region 7,Region 15,0
Region 7,Region 16,0
Region 7,Region 17,0
Region 7,Region 18,2
Region 7,Region 19,0
Region 7,Region 20,0
Region 7,Region 21,0
Region 7,Region 22,0
Region 7,Region 23,0
Region 7,Region 24,0
Region 7,Region 25,0
Region 7,Region 26,0
Region 7,Region 27,0
Region 7,Region 28,0
Region 7,Region 29,1
Region 7,Region 30,0
Region 7,Region 31,0
Region 7,Region 32,0
Region 7,Region 33,0
Region 7,Region 34,0
Region 7,Region 35,0
Region 7,Region 36,0
Region 7,Region 37,0
Region 7,Region 38,0
Region 7,Region 39,0
Region 7,Region 40,0
Region 7,Region 41,0
Region 7,Region 42,0
Region 7,Region 43,0
Region 7,Region 44,0
Region 7,External,0
Region 8,Region 1,0
Region 8,Region 2,5
Region 8,Region 3,0
Region 8,Region 4,1
Region 8,Region 5,1
Region 8,Region 6,0
Region 8,Region 7,0
Region 8,Region 8,3
Region 8,Region 9,2
Region 8,Region 10,0
Region 8,Region 11,0
Region 8,Region 12,2
Region 8,Region 13,0
Region 8,Region 14,0
Region 8,Region 15,1
Region 8,Region 16,0
Region 8,Region 17,0
Region 8,Region 18,1
Region 8,Region 19,0
Region 8,Region 20,1
Region 8,Region 21,1
Region 8,Region 22,0
Region 8,Region 23,0
Region 8,Region 24,0
Region 8,Region 25,0
Region 8,Region 26,0
Region 8,Region 27,0
Region 8,Region 28,0
Region 8,Region 29,0
Region 8,Region 30,0
Region 8,Region 31,0
Region 8,Region 32,0
Region 8,Region 33,0
Region 8,Region 34,0
Region 8,Region 35,0
Region 8,Region 36,0
Region 8,Region 37,2
Region 8,Region 38,0
Region 8,Region 39,0
Region 8,Region 40,0
Region 8,Region 41,0
Region 8,Region 42,0
Region 8,Region 43,0
Region 8,Region 44,0
Region 8,External,7
Region 9,Region 1,2
Region 9,Region 2,3
Region 9,Region 3,0
Region 9,Region 4,1
Region 9,Region 5,2
Region 9,Region 6,1
Region 9,Region 7,1
Region 9,Region 8,0
Region 9,Region 9,20
Region 9,Region 10,0
Region 9,Region 11,0
Region 9,Region 12,2
Region 9,Region 13,7
Region 9,Region 14,0
Region 9,Region 15,7
Region 9,Region 16,5
Region 9,Region 17,3
Region 9,Region 18,1
Region 9,Region 19,2
Region 9,Region 20,4
Region 9,Region 21,0
Region 9,Region 22,0
Region 9,Region 23,0
Region 9,Region 24,1
Region 9,Region 25,1
Region 9,Region 26,0
Region 9,Region 27,4
Region 9,Region 28,2
Region 9,Region 29,0
Region 9,Region 30,2
Region 9,Region 31,0
Region 9,Region 32,0
Region 9,Region 33,4
Region 9,Region 34,3
Region 9,Region 35,0
Region 9,Region 36,0
Region 9,Region 37,7
Region 9,Region 38,1
Region 9,Region 39,3
Region 9,Region 40,0
Region 9,Region 41,0
Region 9,Region 42,3
Region 9,Region 43,1
Region 9,Region 44,0
Region 9,External,150
Region 10,Region 1,0
Region 10,Region 2,0
Region 10,Region 3,0
Region 10,Region 4,0
Region 10,Region 5,0
Region 10,Region 6,0
Region 10,Region 7,0
Region 10,Region 8,0
Region 10,Region 9,0
Region 10,Region 10,0
Region 10,Region 11,0
Region 10,Region 12,0
Region 10,Region 13,0
Region 10,Region 14,0
Region 10,Region 15,0
Region 10,Region 16,0
Region 10,Region 17,0
Region 10,Region 18,2
Region 10,Region 19,1
Region 10,Region 20,1
Region 10,Region 21,0
Region 10,Region 22,0
Region 10,Region 23,0
Region 10,Region 24,0
Region 10,Region 25,0
Region 10,Region 26,0
Region 10,Region 27,0
Region 10,Region 28,0
Region 10,Region 29,0
Region 10,Region 30,0
Region 10,Region 31,0
Region 10,Region 32,0
Region 10,Region 33,0
Region 10,Region 34,0
Region 10,Region 35,0
Region 10,Region 36,0
Region 10,Region 37,0
Region 10,Region 38,0
Region 10,Region 39,0
Region 10,Region 40,0
Region 10,Region 41,0
Region 10,Region 42,0
Region 10,Region 43,0
Region 10,Region 44,0
Region 10,External,5
Region 11,Region 1,0
Region 11,Region 2,0
Region 11,Region 3,0
Region 11,Region 4,0
Region 11,Region 5,0
Region 11,Region 6,0
Region 11,Region 7,0
Region 11,Region 8,0
Region 11,Region 9,0
Region 11,Region 10,0
Region 11,Region 11,0
Region 11,Region 12,0
Region 11,Region 13,0
Region 11,Region 14,0
Region 11,Region 15,0
Region 11,Region 16,0
Region 11,Region 17,0
Region 11,Region 18,0
Region 11,Region 19,0
Region 11,Region 20,0
Region 11,Region 21,0
Region 11,Region 22,0
Region 11,Region 23,0
Region 11,Region 24,0
Region 11,Region 25,0
Region 11,Region 26,0
Region 11,Region 27,0
Region 11,Region 28,0
Region 11,Region 29,0
Region 11,Region 30,0
Region 11,Region 31,0
Region 11,Region 32,0
Region 11,Region 33,0
Region 11,Region 34,0
Region 11,Region 35,0
Region 11,Region 36,0
Region 11,Region 37,0
Region 11,Region 38,0
Region 11,Region 39,0
Region 11,Region 40,0
Region 11,Region 41,0
Region 11,Region 42,0
Region 11,Region 43,0
Region 11,Region 44,0
Region 11,External,3
Region 12,Region 1,0
Region 12,Region 2,0
Region 12,Region 3,0
Region 12,Region 4,0
Region 12,Region 5,0
Region 12,Region 6,1
Region 12,Region 7,1
Region 12,Region 8,0
Region 12,Region 9,0
Region 12,Region 10,0
Region 12,Region 11,0
Region 12,Region 12,0
Region 12,Region 13,1
Region 12,Region 14,1
Region 12,Region 15,0
Region 12,Region 16,1
Region 12,Region 17,0
Region 12,Region 18,0
Region 12,Region 19,2
Region 12,Region 20,3
Region 12,Region 21,0
Region 12,Region 22,0
Region 12,Region 23,0
Region 12,Region 24,2
Region 12,Region 25,0
Region 12,Region 26,0
Region 12,Region 27,2
Region 12,Region 28,0
Region 12,Region 29,0
Region 12,Region 30,1
Region 12,Region 31,0
Region 12,Region 32,0
Region 12,Region 33,3
Region 12,Region 34,1
Region 12,Region 35,0
Region 12,Region 36,0
Region 12,Region 37,0
Region 12,Region 38,0
Region 12,Region 39,0
Region 12,Region 40,0
Region 12,Region 41,0
Region 12,Region 42,0
Region 12,Region 43,0
Region 12,Region 44,0
Region 12,External,20
Region 13,Region 1,0
Region 13,Region 2,0
Region 13,Region 3,0
Region 13,Region 4,2
Region 13,Region 5,1
Region 13,Region 6,0
Region 13,Region 7,0
Region 13,Region 8,1
Region 13,Region 9,1
Region 13,Region 10,1
Region 13,Region 11,1
Region 13,Region 12,2
Region 13,Region 13,9
Region 13,Region 14,7
Region 13,Region 15,4
Region 13,Region 16,1
Region 13,Region 17,2
Region 13,Region 18,0
Region 13,Region 19,2
Region 13,Region 20,0
Region 13,Region 21,1
Region 13,Region 22,0
Region 13,Region 23,0
Region 13,Region 24,3
Region 13,Region 25,0
Region 13,Region 26,0
Region 13,Region 27,7
Region 13,Region 28,2
