Origin,Destination,Date range: 2021-01-25 - 2021-01-31 Time range: 00:00 - 00:00
Region 6,Region 10,9
Region 6,Region 11,0
Region 6,Region 12,3
Region 6,Region 13,1
Region 6,Region 14,3
Region 6,Region 15,1
Region 6,Region 16,0
Region 6,Region 17,24
Region 6,Region 18,3
Region 6,Region 19,9
Region 6,Region 20,3
Region 6,Region 21,0
Region 6,Region 22,0
Region 6,Region 23,1
Region 6,Region 24,13
Region 6,Region 25,0
Region 6,Region 26,1
Region 6,Region 27,2
Region 6,Region 28,4
Region 6,Region 29,2
Region 6,Region 30,3
Region 6,Region 31,0
Region 6,Region 32,2
Region 6,Region 33,0
Region 6,Region 34,0
Region 6,Region 35,27
Region 6,Region 36,0
Region 6,Region 37,0
Region 6,Region 38,0
Region 6,Region 39,5
Region 6,Region 40,3
Region 6,Region 41,0
Region 6,Region 42,5
Region 6,Region 43,3
Region 6,Region 44,5
Region 7,Region 1,1
Region 7,Region 2,13
Region 7,Region 3,1
Region 7,Region 4,2
Region 7,Region 5,38
Region 7,Region 6,2
Region 7,Region 7,59
Region 7,Region 8,36
Region 7,Region 9,34
Region 7,Region 10,3
Region 7,Region 11,0
Region 7,Region 12,4
Region 7,Region 13,5
Region 7,Region 14,2
Region 7,Region 15,3
Region 7,Region 16,2
Region 7,Region 17,65
Region 7,Region 18,25
Region 7,Region 19,5
Region 7,Region 20,2
Region 7,Region 21,5
Region 7,Region 22,2
Region 7,Region 23,5
Region 7,Region 24,5
Region 7,Region 25,2
Region 7,Region 26,0
Region 7,Region 27,4
Region 7,Region 28,2
Region 7,Region 29,7
Region 7,Region 30,3
Region 7,Region 31,0
Region 7,Region 32,2
Region 7,Region 33,2
Region 7,Region 34,3
Region 7,Region 35,56
Region 7,Region 36,1
Region 7,Region 37,1
Region 7,Region 38,3
Region 7,Region 39,6
Region 7,Region 40,18
Region 7,Region 41,0
Region 7,Region 42,14
Region 7,Region 43,5
Region 7,Region 44,18
Region 8,Region 1,1
Region 8,Region 2,21
Region 8,Region 3,2
Region 8,Region 4,5
Region 8,Region 5,29
Region 8,Region 6,13
Region 8,Region 7,4
Region 8,Region 8,28
Region 8,Region 9,35
Region 8,Region 10,0
Region 8,Region 11,2
Region 8,Region 12,9
Region 8,Region 13,8
Region 8,Region 14,3
Region 8,Region 15,5
Region 8,Region 16,5
Region 8,Region 17,104
Region 8,Region 18,15
Region 8,Region 19,11
Region 8,Region 20,9
Region 8,Region 21,3
Region 8,Region 22,3
Region 8,Region 23,9
Region 8,Region 24,14
Region 8,Region 25,1
Region 8,Region 26,5
Region 8,Region 27,13
Region 8,Region 28,7
Region 8,Region 29,7
Region 8,Region 30,3
Region 8,Region 31,0
Region 8,Region 32,3
Region 8,Region 33,2
Region 8,Region 34,0
Region 8,Region 35,104
