Origin,Destination,Date range: 2021-01-18 - 2021-01-22 Time range: 07:00 - 09:00
Region 6,Region 44,0
Region 7,Region 1,0
Region 7,Region 2,0
Region 7,Region 3,0
Region 7,Region 4,0
Region 7,Region 5,1
Region 7,Region 6,0
Region 7,Region 7,0
Region 7,Region 8,3
Region 7,Region 9,0
Region 7,Region 10,0
Region 7,Region 11,0
Region 7,Region 12,0
Region 7,Region 13,0
Region 7,Region 14,0
Region 7,Region 15,0
Region 7,Region 16,0
Region 7,Region 17,2
Region 7,Region 18,1
Region 7,Region 19,0
Region 7,Region 20,0
Region 7,Region 21,1
Region 7,Region 22,0
Region 7,Region 23,0
Region 7,Region 24,0
Region 7,Region 25,0
Region 7,Region 26,0
Region 7,Region 27,0
Region 7,Region 28,0
Region 7,Region 29,0
Region 7,Region 30,0
Region 7,Region 31,0
Region 7,Region 32,0
Region 7,Region 33,1
Region 7,Region 34,0
Region 7,Region 35,3
Region 7,Region 36,0
Region 7,Region 37,0
Region 7,Region 38,0
Region 7,Region 39,0
Region 7,Region 40,0
Region 7,Region 41,0
Region 7,Region 42,1
Region 7,Region 43,2
Region 7,Region 44,0
Region 8,Region 1,0
Region 8,Region 2,4
Region 8,Region 3,0
Region 8,Region 4,0
Region 8,Region 5,1
Region 8,Region 6,0
Region 8,Region 7,0
Region 8,Region 8,1
Region 8,Region 9,2
Region 8,Region 10,0
Region 8,Region 11,0
Region 8,Region 12,3
Region 8,Region 13,0
Region 8,Region 14,0
Region 8,Region 15,0
Region 8,Region 16,0
Region 8,Region 17,6
Region 8,Region 18,0
Region 8,Region 19,0
Region 8,Region 20,0
Region 8,Region 21,0
Region 8,Region 22,0
Region 8,Region 23,0
Region 8,Region 24,1
Region 8,Region 25,0
Region 8,Region 26,0
Region 8,Region 27,0
Region 8,Region 28,0
Region 8,Region 29,1
Region 8,Region 30,0
Region 8,Region 31,0
Region 8,Region 32,0
Region 8,Region 33,0
Region 8,Region 34,0
Region 8,Region 35,6
Region 8,Region 36,0
Region 8,Region 37,1
Region 8,Region 38,0
Region 8,Region 39,0
Region 8,Region 40,0
Region 8,Region 41,0
Region 8,Region 42,0
Region 8,Region 43,1
Region 8,Region 44,0
Region 9,Region 1,0
Region 9,Region 2,12
Region 9,Region 3,8
Region 9,Region 4,3
Region 9,Region 5,7
Region 9,Region 6,8
Region 9,Region 7,2
Region 9,Region 8,0
Region 9,Region 9,155
Region 9,Region 10,2
Region 9,Region 11,0
Region 9,Region 12,6
Region 9,Region 13,18
Region 9,Region 14,7
Region 9,Region 15,13
Region 9,Region 16,25
Region 9,Region 17,165
Region 9,Region 18,11
Region 9,Region 19,12
Region 9,Region 20,22
Region 9,Region 21,2
Region 9,Region 22,1
Region 9,Region 23,4
Region 9,Region 24,13
Region 9,Region 25,1
Region 9,Region 26,3
Region 9,Region 27,16
Region 9,Region 28,5
Region 9,Region 29,12
Region 9,Region 30,9
Region 9,Region 31,3
Region 9,Region 32,0
Region 9,Region 33,9
Region 9,Region 34,7
Region 9,Region 35,190
Region 9,Region 36,2
Region 9,Region 37,69
Region 9,Region 38,3
Region 9,Region 39,15
Region 9,Region 40,10
Region 9,Region 41,0
Region 9,Region 42,60
Region 9,Region 43,25
Region 9,Region 44,4
Region 10,Region 1,0
Region 10,Region 2,0
Region 10,Region 3,0
Region 10,Region 4,0
Region 10,Region 5,0
Region 10,Region 6,0
Region 10,Region 7,0
Region 10,Region 8,0
Region 10,Region 9,0
Region 10,Region 10,1
Region 10,Region 11,0
Region 10,Region 12,0
Region 10,Region 13,1
Region 10,Region 14,0
Region 10,Region 15,0
Region 10,Region 16,0
Region 10,Region 17,2
Region 10,Region 18,0
Region 10,Region 19,0
Region 10,Region 20,0
Region 10,Region 21,0
Region 10,Region 22,0
Region 10,Region 23,2
Region 10,Region 24,1
Region 10,Region 25,0
Region 10,Region 26,0
Region 10,Region 27,0
Region 10,Region 28,0
Region 10,Region 29,0
Region 10,Region 30,1
Region 10,Region 31,0
Region 10,Region 32,0
Region 10,Region 33,0
Region 10,Region 34,0
Region 10,Region 35,2
Region 10,Region 36,0
Region 10,Region 37,0
Region 10,Region 38,0
Region 10,Region 39,0
Region 10,Region 40,0
Region 10,Region 41,0
Region 10,Region 42,1
Region 10,Region 43,0
Region 10,Region 44,0
Region 11,Region 1,0
Region 11,Region 2,0
Region 11,Region 3,1
Region 11,Region 4,0
Region 11,Region 5,0
Region 11,Region 6,0
Region 11,Region 7,0
Region 11,Region 8,0
Region 11,Region 9,3
Region 11,Region 10,0
Region 11,Region 11,1
Region 11,Region 12,0
Region 11,Region 13,1
Region 11,Region 14,0
Region 11,Region 15,0
Region 11,Region 16,0
Region 11,Region 17,1
Region 11,Region 18,0
Region 11,Region 19,0
Region 11,Region 20,1
Region 11,Region 21,0
Region 11,Region 22,0
Region 11,Region 23,0
Region 11,Region 24,0
Region 11,Region 25,0
Region 11,Region 26,0
Region 11,Region 27,1
Region 11,Region 28,0
Region 11,Region 29,0
Region 11,Region 30,0
Region 11,Region 31,0
Region 11,Region 32,0
Region 11,Region 33,0
Region 11,Region 34,0
Region 11,Region 35,1
Region 11,Region 36,0
Region 11,Region 37,0
Region 11,Region 38,0
Region 11,Region 39,0
Region 11,Region 40,0
Region 11,Region 41,0
Region 11,Region 42,2
Region 11,Region 43,1
Region 11,Region 44,0
Region 12,Region 1,0
Region 12,Region 2,2
Region 12,Region 3,0
Region 12,Region 4,0
Region 12,Region 5,0
Region 12,Region 6,0
Region 12,Region 7,1
Region 12,Region 8,0
Region 12,Region 9,1
Region 12,Region 10,0
Region 12,Region 11,1
Region 12,Region 12,2
Region 12,Region 13,3
Region 12,Region 14,2
Region 12,Region 15,1
Region 12,Region 16,0
Region 12,Region 17,12
Region 12,Region 18,1
Region 12,Region 19,2
Region 12,Region 20,2
Region 12,Region 21,0
Region 12,Region 22,1
Region 12,Region 23,2
Region 12,Region 24,8
Region 12,Region 25,1
Region 12,Region 26,0
Region 12,Region 27,0
Region 12,Region 28,0
Region 12,Region 29,1
Region 12,Region 30,1
Region 12,Region 31,0
Region 12,Region 32,0
Region 12,Region 33,2
Region 12,Region 34,1
Region 12,Region 35,8
Region 12,Region 36,0
Region 12,Region 37,0
Region 12,Region 38,5
Region 12,Region 39,0
Region 12,Region 40,6
Region 12,Region 41,0
Region 12,Region 42,5
Region 12,Region 43,3
Region 12,Region 44,1
Region 13,Region 1,0
Region 13,Region 2,0
Region 13,Region 3,0
Region 13,Region 4,3
Region 13,Region 5,0
Region 13,Region 6,0
Region 13,Region 7,0
Region 13,Region 8,0
Region 13,Region 9,6
Region 13,Region 10,0
Region 13,Region 11,0
Region 13,Region 12,4
Region 13,Region 13,11
Region 13,Region 14,5
Region 13,Region 15,6
Region 13,Region 16,5
Region 13,Region 17,13
Region 13,Region 18,0
Region 13,Region 19,2
Region 13,Region 20,0
Region 13,Region 21,0
Region 13,Region 22,1
Region 13,Region 23,2
Region 13,Region 24,6
Region 13,Region 25,0
Region 13,Region 26,0
Region 13,Region 27,9
Region 13,Region 28,2
Region 13,Region 29,9
Region 13,Region 30,0
Region 13,Region 31,1
Region 13,Region 32,7
Region 13,Region 33,6
Region 13,Region 34,0
Region 13,Region 35,59
Region 13,Region 36,2
Region 13,Region 37,1
Region 13,Region 38,2
Region 13,Region 39,0
Region 13,Region 40,4
Region 13,Region 41,0
Region 13,Region 42,4
Region 13,Region 43,0
Region 13,Region 44,2
Region 14,Region 1,3
Region 14,Region 2,3
Region 14,Region 3,1
Region 14,Region 4,2
Region 14,Region 5,0
Region 14,Region 6,0
Region 14,Region 7,2
Region 14,Region 8,0
Region 14,Region 9,4
Region 14,Region 10,0
Region 14,Region 11,0
Region 14,Region 12,1
Region 14,Region 13,3
Region 14,Region 14,5
Region 14,Region 15,5
Region 14,Region 16,3
Region 14,Region 17,10
Region 14,Region 18,2
Region 14,Region 19,2
Region 14,Region 20,2
Region 14,Region 21,1
Region 14,Region 22,2
Region 14,Region 23,5
Region 14,Region 24,1
Region 14,Region 25,1
Region 14,Region 26,0
Region 14,Region 27,8
Region 14,Region 28,1
Region 14,Region 29,2
Region 14,Region 30,2
Region 14,Region 31,0
Region 14,Region 32,3
Region 14,Region 33,8
Region 14,Region 34,2
Region 14,Region 35,34
Region 14,Region 36,1
Region 14,Region 37,3
Region 14,Region 38,7
Region 14,Region 39,5
Region 14,Region 40,6
Region 14,Region 41,0
Region 14,Region 42,14
Region 14,Region 43,1
Region 14,Region 44,0
Region 15,Region 1,1
Region 15,Region 2,5
Region 15,Region 3,2
Region 15,Region 4,4
Region 15,Region 5,0
Region 15,Region 6,0
Region 15,Region 7,0
Region 15,Region 8,0
Region 15,Region 9,5
Region 15,Region 10,0
Region 15,Region 11,0
Region 15,Region 12,1
Region 15,Region 13,6
Region 15,Region 14,3
Region 15,Region 15,3
Region 15,Region 16,2
Region 15,Region 17,24
Region 15,Region 18,1
Region 15,Region 19,2
Region 15,Region 20,3
Region 15,Region 21,0
Region 15,Region 22,0
Region 15,Region 23,1
Region 15,Region 24,0
Region 15,Region 25,0
Region 15,Region 26,0
Region 15,Region 27,3
Region 15,Region 28,2
Region 15,Region 29,3
Region 15,Region 30,1
Region 15,Region 31,0
Region 15,Region 32,1
Region 15,Region 33,2
Region 15,Region 34,0
Region 15,Region 35,11
Region 15,Region 36,1
Region 15,Region 37,4
Region 15,Region 38,5
Region 15,Region 39,5
Region 15,Region 40,6
Region 15,Region 41,0
Region 15,Region 42,4
Region 15,Region 43,0
Region 15,Region 44,0
Region 16,Region 1,0
Region 16,Region 2,4
Region 16,Region 3,1
Region 16,Region 4,2
Region 16,Region 5,0
Region 16,Region 6,0
Region 16,Region 7,1
Region 16,Region 8,0
Region 16,Region 9,20
Region 16,Region 10,0
Region 16,Region 11,0
Region 16,Region 12,0
Region 16,Region 13,5
Region 16,Region 14,3
Region 16,Region 15,5
Region 16,Region 16,5
Region 16,Region 17,23
Region 16,Region 18,1
Region 16,Region 19,1
Region 16,Region 20,4
Region 16,Region 21,1
Region 16,Region 22,0
Region 16,Region 23,0
Region 16,Region 24,0
Region 16,Region 25,0
Region 16,Region 26,0
Region 16,Region 27,9
Region 16,Region 28,0
Region 16,Region 29,1
Region 16,Region 30,2
Region 16,Region 31,1
Region 16,Region 32,0
Region 16,Region 33,0
Region 16,Region 34,1
Region 16,Region 35,40
Region 16,Region 36,2
Region 16,Region 37,2
Region 16,Region 38,0
Region 16,Region 39,2
Region 16,Region 40,1
Region 16,Region 41,0
Region 16,Region 42,4
Region 16,Region 43,0
Region 16,Region 44,1
Region 17,Region 1,8
Region 17,Region 2,65
Region 17,Region 3,49
Region 17,Region 4,26
Region 17,Region 5,75
Region 17,Region 6,11
Region 17,Region 7,14
Region 17,Region 8,22
Region 17,Region 9,531
Region 17,Region 10,10
Region 17,Region 11,3
Region 17,Region 12,29
Region 17,Region 13,52
Region 17,Region 14,47
Region 17,Region 15,75
Region 17,Region 16,55
Region 17,Region 17,1530
Region 17,Region 18,163
Region 17,Region 19,66
Region 17,Region 20,139
Region 17,Region 21,11
Region 17,Region 22,6
Region 17,Region 23,10
Region 17,Region 24,42
Region 17,Region 25,10
Region 17,Region 26,6
Region 17,Region 27,37
Region 17,Region 28,32
Region 17,Region 29,39
Region 17,Region 30,17
Region 17,Region 31,18
Region 17,Region 32,13
Region 17,Region 33,67
Region 17,Region 34,89
Region 17,Region 35,2482
Region 17,Region 36,17
Region 17,Region 37,268
Region 17,Region 38,33
Region 17,Region 39,46
Region 17,Region 40,26
Region 17,Region 41,0
Region 17,Region 42,226
Region 17,Region 43,164
Region 17,Region 44,92
Region 18,Region 1,0
Region 18,Region 2,2
Region 18,Region 3,0
Region 18,Region 4,1
Region 18,Region 5,7
Region 18,Region 6,0
Region 18,Region 7,0
Region 18,Region 8,0
Region 18,Region 9,12
Region 18,Region 10,0
Region 18,Region 11,1
Region 18,Region 12,1
Region 18,Region 13,2
Region 18,Region 14,0
Region 18,Region 15,2
Region 18,Region 16,2
Region 18,Region 17,67
Region 18,Region 18,16
Region 18,Region 19,7
Region 18,Region 20,7
Region 18,Region 21,1
Region 18,Region 22,0
Region 18,Region 23,4
Region 18,Region 24,5
Region 18,Region 25,1
Region 18,Region 26,0
Region 18,Region 27,1
Region 18,Region 28,0
Region 18,Region 29,2
Region 18,Region 30,1
Region 18,Region 31,0
Region 18,Region 32,1
Region 18,Region 33,4
Region 18,Region 34,1
Region 18,Region 35,64
Region 18,Region 36,0
Region 18,Region 37,6
Region 18,Region 38,2
Region 18,Region 39,2
Region 18,Region 40,4
Region 18,Region 41,0
Region 18,Region 42,12
Region 18,Region 43,9
Region 18,Region 44,12
Region 19,Region 1,0
Region 19,Region 2,3
Region 19,Region 3,4
Region 19,Region 4,1
Region 19,Region 5,2
Region 19,Region 6,0
Region 19,Region 7,0
Region 19,Region 8,1
Region 19,Region 9,24
Region 19,Region 10,1
Region 19,Region 11,0
Region 19,Region 12,0
Region 19,Region 13,7
Region 19,Region 14,4
Region 19,Region 15,7
Region 19,Region 16,7
Region 19,Region 17,53
Region 19,Region 18,8
Region 19,Region 19,52
Region 19,Region 20,29
Region 19,Region 21,26
Region 19,Region 22,2
Region 19,Region 23,21
Region 19,Region 24,18
Region 19,Region 25,4
Region 19,Region 26,2
Region 19,Region 27,4
Region 19,Region 28,2
Region 19,Region 29,1
Region 19,Region 30,3
Region 19,Region 31,3
Region 19,Region 32,1
Region 19,Region 33,1
Region 19,Region 34,2
Region 19,Region 35,64
Region 19,Region 36,0
Region 19,Region 37,4
Region 19,Region 38,3
Region 19,Region 39,4
Region 19,Region 40,13
Region 19,Region 41,0
Region 19,Region 42,19
Region 19,Region 43,3
Region 19,Region 44,9
Region 20,Region 1,0
Region 20,Region 2,3
Region 20,Region 3,2
Region 20,Region 4,1
Region 20,Region 5,2
Region 20,Region 6,1
Region 20,Region 7,3
Region 20,Region 8,0
Region 20,Region 9,35
Region 20,Region 10,0
Region 20,Region 11,0
Region 20,Region 12,1
Region 20,Region 13,6
Region 20,Region 14,8
Region 20,Region 15,5
Region 20,Region 16,8
Region 20,Region 17,73
Region 20,Region 18,12
Region 20,Region 19,33
Region 20,Region 20,61
Region 20,Region 21,6
Region 20,Region 22,0
Region 20,Region 23,5
Region 20,Region 24,11
Region 20,Region 25,11
