,0
1588,3
1640,3
1600,3
1632,1
1595,2
1641,1
1619,3
1593,3
1634,3
1633,3
1622,3
1596,3
1624,3
1620,3
1621,3
1597,3
1623,3
1626,3
1625,3
1627,3
1628,3
1629,3
1630,3
1598,3
1637,3
1638,3
1631,3
1636,3
1639,3
1635,3
1642,3
1617,3
1594,3
1591,3
1590,3
1589,3
1592,3
1602,1
1643,3
1644,3
1586,3
1587,3
1603,3
1604,3
1605,3
1585,3
1599,3
1601,3
