,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
17,10.7,20.6,7.8,9.0,9.8,10.4,4.4,1.3,52.9,1.9,0.8,7.1,6.7,4.4,2.5,10.0,6.4,0.0,14.5,7.7,4.8,5.5,6.0,4.4,1.6,0.8,4.0,1.7,4.8,5.9,0.0,0.0,8.0,7.3,0.0,1.9,0.0,5.0,0.0,3.5,0.0,3.2,3.4,5.1
18,26.6,25.5,30.7,4.6,26.7,40.3,12.7,8.4,102.7,5.0,9.3,35.0,52.0,15.8,9.9,12.3,15.1,8.4,0.0,26.1,31.1,39.6,13.4,44.3,1.7,0.0,28.3,11.4,22.1,21.8,2.7,0.0,22.4,9.8,4.4,4.7,0.0,22.3,0.0,32.0,2.4,37.0,12.6,10.2
19,13.1,10.1,9.7,4.1,13.1,19.1,10.2,3.8,49.1,3.5,4.1,13.3,18.2,3.7,4.0,7.8,27.9,12.3,42.6,0.0,23.3,21.1,8.5,17.3,3.9,5.9,12.8,4.5,12.9,4.9,0.0,0.0,15.6,7.3,0.0,1.0,0.0,2.5,0.0,7.3,1.6,6.7,5.4,7.5
20,8.5,4.6,7.3,2.6,10.8,14.2,5.2,3.8,33.1,1.8,1.1,4.3,17.8,5.0,4.0,3.1,13.6,7.0,34.3,17.6,0.0,33.7,20.0,14.6,0.9,3.3,15.1,2.8,5.3,2.7,0.0,0.0,8.5,5.7,0.8,3.2,0.0,2.4,0.0,10.1,0.9,15.8,1.7,3.8
21,11.3,20.6,12.9,6.8,13.8,20.6,10.0,5.5,45.2,3.2,8.7,19.8,33.1,7.5,1.5,4.1,9.6,5.3,55.7,12.9,28.9,0.0,16.0,52.2,0.0,2.1,22.3,6.1,14.1,7.7,0.0,1.0,16.2,6.3,1.6,0.8,0.7,10.3,0.0,23.1,2.5,27.7,9.0,9.8
22,7.2,4.1,2.8,0.8,3.2,10.0,2.3,2.7,19.2,2.0,1.3,7.7,11.2,0.8,1.8,6.0,3.5,5.4,16.4,8.1,11.5,11.9,0.0,13.2,0.0,3.1,4.9,0.9,7.1,4.1,0.0,0.0,3.0,2.8,0.9,0.0,0.0,3.4,0.0,5.3,0.9,10.3,3.4,2.4
23,13.8,16.9,16.9,1.4,7.8,22.1,6.7,4.7,36.0,1.6,6.3,20.6,20.0,5.1,7.4,9.1,6.3,5.1,57.3,8.0,16.9,30.1,9.3,0.0,0.0,1.9,18.9,3.9,18.4,12.0,0.0,0.0,14.9,5.6,0.0,1.3,0.9,8.0,0.0,20.5,2.8,18.6,2.3,7.7
24,0.5,2.2,1.5,0.0,3.9,1.9,2.0,0.0,9.0,0.0,0.0,1.5,3.5,0.5,1.8,0.0,2.8,2.7,1.0,3.0,4.8,0.9,1.8,0.8,0.0,0.0,2.7,0.9,0.9,2.0,0.0,0.0,0.0,1.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5
25,1.9,3.8,1.2,0.0,1.3,3.6,1.7,1.4,9.4,0.7,1.5,5.7,6.6,0.0,1.5,2.6,1.9,1.0,6.6,6.2,5.5,6.8,1.7,1.9,0.0,0.0,1.8,0.9,1.8,0.9,0.0,0.0,1.0,0.5,0.0,0.0,0.0,1.7,0.0,1.9,0.0,1.6,0.9,2.8
26,23.2,32.7,23.9,1.5,7.2,20.1,5.8,5.1,63.9,2.6,5.8,13.0,27.2,15.5,8.1,8.7,12.3,3.8,17.8,6.9,5.2,15.1,2.3,13.9,1.8,1.7,0.0,31.1,18.3,40.2,2.0,0.0,49.5,10.1,1.9,2.8,0.0,21.2,0.0,9.6,3.4,30.8,7.3,1.4
